profile,n_seq,n_sites,batch_size,dtype,status,rss_peak_gb,torch_max_allocated_gb,torch_max_reserved_gb,elapsed_sec,error,stderr
pf2-bayesnj-infer,10,100,1,fp32,ok,0.603515625,0.09994983673095703,0.11328125,0.47193870693445206,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,250,1,fp32,ok,0.611328125,0.10013914108276367,0.12109375,0.4207978770136833,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,500,1,fp32,ok,0.623046875,0.11706924438476562,0.1328125,0.46195064298808575,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,1000,1,fp32,ok,0.662109375,0.15136051177978516,0.171875,0.4701882004737854,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,2000,1,fp32,ok,0.7265625,0.21994352340698242,0.234375,0.5396841485053301,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,3000,1,fp32,ok,0.80078125,0.2876110076904297,0.30859375,0.5523054301738739,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,4000,1,fp32,ok,0.87109375,0.35619401931762695,0.37890625,0.5911160241812468,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,5000,1,fp32,ok,0.96484375,0.4215726852416992,0.47265625,0.5945507884025574,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,10,10000,1,fp32,ok,1.30078125,0.7605810165405273,0.80859375,1.0131557155400515,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
pf2-bayesnj-infer,50,100,1,fp32,ok,0.71875,0.2129988670349121,0.2265625,2.5695377085357904,,"/envs/pf2/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: 'Could not load this library: <pf2-env>/lib/python3.10/site-packages/torchvision/image.so'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn("
