label,source_run,id,n_tips,length,rf,norm_rf,weighted_rf,kf_score,MAE,MRE
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,0_10_tips_250,10,250,2.000000,0.142857,0.628298,0.390587,0.469723,0.227671
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1003_10_tips_250,10,250,4.000000,0.285714,0.118875,0.046766,0.063757,0.163183
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1004_10_tips_250,10,250,0.000000,0.000000,0.562218,0.305262,0.274695,0.247765
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1006_10_tips_250,10,250,0.000000,0.000000,5.621754,2.584040,1.331078,0.161469
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1007_10_tips_250,10,250,1.000000,0.066667,0.962677,0.528071,0.501574,0.284351
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,100_10_tips_250,10,250,0.000000,0.000000,1.350783,0.773655,0.627104,0.269913
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1011_10_tips_250,10,250,2.000000,0.142857,0.232736,0.105510,0.095446,0.171525
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1012_10_tips_250,10,250,0.000000,0.000000,0.978674,0.558904,0.399859,0.191919
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1016_10_tips_250,10,250,0.000000,0.000000,0.871488,0.522239,0.312704,0.114090
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1028_10_tips_250,10,250,0.000000,0.000000,0.681088,0.346554,0.754229,0.470589
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1029_10_tips_250,10,250,2.000000,0.142857,0.682687,0.321476,0.198842,0.109293
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1035_10_tips_250,10,250,2.000000,0.142857,1.674460,0.744458,0.388897,0.134414
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1036_10_tips_250,10,250,0.000000,0.000000,0.204874,0.094036,0.045781,0.132115
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1039_10_tips_250,10,250,2.000000,0.142857,1.050122,0.545359,0.575498,0.173414
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1051_10_tips_250,10,250,0.000000,0.000000,0.764638,0.537090,0.512103,0.216299
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1056_10_tips_250,10,250,5.000000,0.333333,5.994839,2.784117,2.690261,0.225090
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1074_10_tips_250,10,250,0.000000,0.000000,0.746564,0.359802,0.485384,0.205523
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1077_10_tips_250,10,250,0.000000,0.000000,1.604838,0.740757,0.363364,0.124368
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1078_10_tips_250,10,250,2.000000,0.142857,1.072193,0.509049,0.434195,0.352753
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1096_10_tips_250,10,250,0.000000,0.000000,0.327686,0.170000,0.166446,0.092142
