msa_id	relative_path	num_sequences	alignment_length	seq_bin	len_bin	stratum	split
0	data_pandit/aa/0/data.0	64	433	51-100	<=500	51-100|<=500	train
1	data_pandit/aa/1/data.1	33	376	<=50	<=500	<=50|<=500	train
2	data_pandit/aa/2/data.2	30	292	<=50	<=500	<=50|<=500	test
4	data_pandit/aa/4/data.4	65	333	51-100	<=500	51-100|<=500	train
5	data_pandit/aa/5/data.5	157	994	101-200	501-1000	101-200|501-1000	train
6	data_pandit/aa/6/data.6	24	112	<=50	<=500	<=50|<=500	test
8	data_pandit/aa/8/data.8	222	430	>200	<=500	>200|<=500	test
10	data_pandit/aa/10/data.10	37	115	<=50	<=500	<=50|<=500	train
11	data_pandit/aa/11/data.11	34	688	<=50	501-1000	<=50|501-1000	train
14	data_pandit/aa/14/data.14	10	285	<=50	<=500	<=50|<=500	val
15	data_pandit/aa/15/data.15	17	320	<=50	<=500	<=50|<=500	val
16	data_pandit/aa/16/data.16	58	109	51-100	<=500	51-100|<=500	val
17	data_pandit/aa/17/data.17	61	65	51-100	<=500	51-100|<=500	train
18	data_pandit/aa/18/data.18	21	118	<=50	<=500	<=50|<=500	test
19	data_pandit/aa/19/data.19	37	50	<=50	<=500	<=50|<=500	train
20	data_pandit/aa/20/data.20	42	109	<=50	<=500	<=50|<=500	train
21	data_pandit/aa/21/data.21	24	389	<=50	<=500	<=50|<=500	test
23	data_pandit/aa/23/data.23	108	152	101-200	<=500	101-200|<=500	train
24	data_pandit/aa/24/data.24	20	201	<=50	<=500	<=50|<=500	train
25	data_pandit/aa/25/data.25	23	516	<=50	501-1000	<=50|501-1000	test
27	data_pandit/aa/27/data.27	57	129	51-100	<=500	51-100|<=500	train
28	data_pandit/aa/28/data.28	16	259	<=50	<=500	<=50|<=500	val
29	data_pandit/aa/29/data.29	37	95	<=50	<=500	<=50|<=500	test
30	data_pandit/aa/30/data.30	49	109	<=50	<=500	<=50|<=500	train
31	data_pandit/aa/31/data.31	9	116	<=50	<=500	<=50|<=500	test
32	data_pandit/aa/32/data.32	8	212	<=50	<=500	<=50|<=500	train
33	data_pandit/aa/33/data.33	50	131	<=50	<=500	<=50|<=500	train
37	data_pandit/aa/37/data.37	36	377	<=50	<=500	<=50|<=500	test
38	data_pandit/aa/38/data.38	20	42	<=50	<=500	<=50|<=500	test
39	data_pandit/aa/39/data.39	17	42	<=50	<=500	<=50|<=500	test
40	data_pandit/aa/40/data.40	108	120	101-200	<=500	101-200|<=500	train
42	data_pandit/aa/42/data.42	61	157	51-100	<=500	51-100|<=500	val
43	data_pandit/aa/43/data.43	114	210	101-200	<=500	101-200|<=500	train
48	data_pandit/aa/48/data.48	28	176	<=50	<=500	<=50|<=500	train
49	data_pandit/aa/49/data.49	52	66	51-100	<=500	51-100|<=500	train
50	data_pandit/aa/50/data.50	24	85	<=50	<=500	<=50|<=500	val
51	data_pandit/aa/51/data.51	9	150	<=50	<=500	<=50|<=500	train
52	data_pandit/aa/52/data.52	72	72	51-100	<=500	51-100|<=500	val
53	data_pandit/aa/53/data.53	22	173	<=50	<=500	<=50|<=500	val
