msa_id	relative_path	num_sequences	alignment_length	seq_bin	len_bin	stratum	split
0	data_pandit/aa/0/data.0	64	433	51-100	<=500	51-100|<=500	train
1	data_pandit/aa/1/data.1	33	376	<=50	<=500	<=50|<=500	train
4	data_pandit/aa/4/data.4	65	333	51-100	<=500	51-100|<=500	train
5	data_pandit/aa/5/data.5	157	994	101-200	501-1000	101-200|501-1000	train
10	data_pandit/aa/10/data.10	37	115	<=50	<=500	<=50|<=500	train
11	data_pandit/aa/11/data.11	34	688	<=50	501-1000	<=50|501-1000	train
17	data_pandit/aa/17/data.17	61	65	51-100	<=500	51-100|<=500	train
19	data_pandit/aa/19/data.19	37	50	<=50	<=500	<=50|<=500	train
20	data_pandit/aa/20/data.20	42	109	<=50	<=500	<=50|<=500	train
23	data_pandit/aa/23/data.23	108	152	101-200	<=500	101-200|<=500	train
24	data_pandit/aa/24/data.24	20	201	<=50	<=500	<=50|<=500	train
27	data_pandit/aa/27/data.27	57	129	51-100	<=500	51-100|<=500	train
30	data_pandit/aa/30/data.30	49	109	<=50	<=500	<=50|<=500	train
32	data_pandit/aa/32/data.32	8	212	<=50	<=500	<=50|<=500	train
33	data_pandit/aa/33/data.33	50	131	<=50	<=500	<=50|<=500	train
40	data_pandit/aa/40/data.40	108	120	101-200	<=500	101-200|<=500	train
43	data_pandit/aa/43/data.43	114	210	101-200	<=500	101-200|<=500	train
48	data_pandit/aa/48/data.48	28	176	<=50	<=500	<=50|<=500	train
49	data_pandit/aa/49/data.49	52	66	51-100	<=500	51-100|<=500	train
51	data_pandit/aa/51/data.51	9	150	<=50	<=500	<=50|<=500	train
55	data_pandit/aa/55/data.55	30	175	<=50	<=500	<=50|<=500	train
56	data_pandit/aa/56/data.56	53	62	51-100	<=500	51-100|<=500	train
57	data_pandit/aa/57/data.57	28	57	<=50	<=500	<=50|<=500	train
60	data_pandit/aa/60/data.60	157	186	101-200	<=500	101-200|<=500	train
61	data_pandit/aa/61/data.61	21	128	<=50	<=500	<=50|<=500	train
62	data_pandit/aa/62/data.62	24	956	<=50	501-1000	<=50|501-1000	train
63	data_pandit/aa/63/data.63	7	486	<=50	<=500	<=50|<=500	train
64	data_pandit/aa/64/data.64	10	42	<=50	<=500	<=50|<=500	train
65	data_pandit/aa/65/data.65	51	559	51-100	501-1000	51-100|501-1000	train
66	data_pandit/aa/66/data.66	37	138	<=50	<=500	<=50|<=500	train
67	data_pandit/aa/67/data.67	54	473	51-100	<=500	51-100|<=500	train
70	data_pandit/aa/70/data.70	54	158	51-100	<=500	51-100|<=500	train
71	data_pandit/aa/71/data.71	52	313	51-100	<=500	51-100|<=500	train
73	data_pandit/aa/73/data.73	67	246	51-100	<=500	51-100|<=500	train
74	data_pandit/aa/74/data.74	79	80	51-100	<=500	51-100|<=500	train
75	data_pandit/aa/75/data.75	51	127	51-100	<=500	51-100|<=500	train
76	data_pandit/aa/76/data.76	164	397	101-200	<=500	101-200|<=500	train
77	data_pandit/aa/77/data.77	42	423	<=50	<=500	<=50|<=500	train
78	data_pandit/aa/78/data.78	28	203	<=50	<=500	<=50|<=500	train
