msa_id	split	fitted_model	best_model_base	has_G	has_I	has_F	gamma_alpha	p_invariant	log_likelihood	aic	bic	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches	gap_ratio	informative_site_ratio	num_sequences	alignment_length
0	train	LG+F+G4	LG	True	False	True	0.8208		-33632.5754	67555.1509	68145.4078	65.0622672479	0.5204981379832	0.4275490874	7.5954404016999995	5.4787546811	64	125	0.380484988453	0.676674364896	64	433
1	train	LG+G4	LG	True	False	False	1.1333		-15233.7321	30595.4643	30846.958	28.9017966409	0.4587586768396825	0.3909135074	7.1729126298	2.5932999527000002	33	63	0.302707930368	0.68085106383	33	376
10	train	LG+G4	LG	True	False	False	1.8658		-5929.055	12002.1101	12199.7452	24.9673344323	0.35165259763802814	0.2023456747	4.3828039037	1.7781733972000002	37	71	0.119153936545	0.913043478261	37	115
100	train	JTT+G4	JTT	True	False	False	2.7209		-6981.5771	14027.1543	14138.1322	13.8683073683	0.44736475381612906	0.2320575719	2.3675819863000003	1.6075452004000002	17	31	0.111690245719	0.827004219409	17	237
1002	train	LG+G4	LG	True	False	False	1.239		-6729.9796	13519.9593	13628.5713	14.7705587086	0.5093296106413793	0.282978927	2.6852867719	2.25351389295	16	29	0.180706521739	0.717391304348	16	276
1003	train	JTT+G4	JTT	True	False	False	0.7103		-3838.3819	7752.7639	7871.7	9.8284298206	0.26563323839459463	0.1410542014	1.8976963002	1.1969879569499997	20	37	0.11124260355	0.644970414201	20	169
1005	train	LG+F+G4	LG	True	False	True	1.8835		-19100.8661	38415.7322	38828.8363	44.0310831525	0.5061044040517242	0.2896857475	5.706673786	4.4251601673000005	45	87	0.350680595125	0.757834757835	45	351
1006	train	LG+G4	LG	True	False	False	5.0409		-4172.3217	8448.6435	8573.1548	25.7805566166	0.5055011101294117	0.3934389446	4.9669917411	2.7934048664000004	27	51	0.0493827160494	0.950617283951	27	81
1008	train	JTT+G4	JTT	True	False	False	0.1009		-1475.9946	2967.9893	2998.0099	0.424313874	0.06061626771428571	0.0572062542	0.22533072910000002	0.15604536689999998	5	7	0.00380952380952	0.0507936507937	5	315
1009	train	LG+G4	LG	True	False	False	1.0089		-89890.1608	180228.3216	181344.4829	84.6026010807	0.3793838613484305	0.2695614562	5.111645254199999	3.5140966903999997	113	223	0.564376836817	0.611317254174	113	1078
1010	train	JTT+F+G4	JTT	True	False	True	0.9226		-4296.5477	8663.0955	8805.4904	4.0066376921	0.26710917947333335	0.2499813266	2.1692478587	0.6219990242	9	15	0.246656378601	0.356481481481	9	432
1012	train	LG+G4	LG	True	False	False	1.5947		-7492.5351	15149.0702	15397.5661	26.2181910164	0.32368137057283947	0.2466140982	6.0377076729	4.6732619678	42	81	0.250233426704	0.843137254902	42	153
1016	train	LG+G4	LG	True	False	False	1.1266		-12831.6217	25731.2435	25876.2637	13.1971741663	0.3999143686757576	0.3519889381	2.2440234838	1.41014549735	18	33	0.274186734263	0.606463878327	18	526
