msa_id	split	tree_path	num_sequences	alignment_length	tree_bucket	num_tips	num_internal_nodes	num_branches	total_tree_length	mean_branch_length	median_branch_length	max_branch_length	mean_root_to_leaf_depth	median_root_to_leaf_depth	max_root_to_leaf_depth	mean_root_to_leaf_edges	median_root_to_leaf_edges	max_root_to_leaf_edges	tree_bucket_q_low	tree_bucket_q_high
0	train	data/zenodo_raw/data_pandit/aa/0/tree.0	64	433	long-tree	64	62	125	84.912241	0.679297928	0.591266	3.001817	6.30885439062	6.563449	9.186443	10.703125	11	17	5.951082	13.683736
1	train	data/zenodo_raw/data_pandit/aa/1/tree.1	33	376	long-tree	33	31	63	31.512182	0.500193365079	0.346537	3.725466	3.28416539394	2.883899	8.64168	9.72727272727	10	16	5.951082	13.683736
4	train	data/zenodo_raw/data_pandit/aa/4/tree.4	65	333	long-tree	65	63	127	79.88629	0.629025905512	0.573491	2.501619	2.34940156923	2.147517	4.1709	9.55384615385	9	19	5.951082	13.683736
5	train	data/zenodo_raw/data_pandit/aa/5/tree.5	157	994	long-tree	157	155	311	74.869939	0.240739353698	0.183955	2.512274	3.1646613758	3.564926	5.754117	16.0828025478	16	30	5.951082	13.683736
10	train	data/zenodo_raw/data_pandit/aa/10/tree.10	37	115	long-tree	37	35	71	25.941424	0.365372169014	0.224364	1.704983	1.98489251351	2.033899	3.840188	6.2972972973	7	10	5.951082	13.683736
11	train	data/zenodo_raw/data_pandit/aa/11/tree.11	34	688	long-tree	34	32	65	17.033377	0.262051953846	0.175711	1.636881	0.997120176471	0.786894	3.246911	5.47058823529	5.5	8	5.951082	13.683736
17	train	data/zenodo_raw/data_pandit/aa/17/tree.17	61	65	long-tree	61	59	119	40.93801	0.344016890756	0.22207	1.766227	1.93551455738	2.08415	3.656558	12.1475409836	13	19	5.951082	13.683736
19	train	data/zenodo_raw/data_pandit/aa/19/tree.19	37	50	long-tree	37	35	71	32.072557	0.45172615493	0.326559	2.119969	2.456518	2.17827	5.368552	7.18918918919	8	13	5.951082	13.683736
20	train	data/zenodo_raw/data_pandit/aa/20/tree.20	42	109	long-tree	42	40	81	24.744406	0.305486493827	0.197961	1.322398	3.02226602381	3.298492	4.940784	7.21428571429	8	11	5.951082	13.683736
23	train	data/zenodo_raw/data_pandit/aa/23/tree.23	108	152	long-tree	108	106	213	94.529759	0.443801685446	0.282914	2.411965	2.63039050926	2.6478395	5.780571	12.8703703704	13	22	5.951082	13.683736
24	train	data/zenodo_raw/data_pandit/aa/24/tree.24	20	201	mid-tree	20	18	37	12.246821	0.330995162162	0.162889	1.787918	1.7289127	1.652062	2.847435	5.65	5.5	8	5.951082	13.683736
27	train	data/zenodo_raw/data_pandit/aa/27/tree.27	57	129	long-tree	57	55	111	61.421788	0.553349441441	0.410319	2.964224	2.22129422807	1.99053	5.205632	9.01754385965	10	14	5.951082	13.683736
30	train	data/zenodo_raw/data_pandit/aa/30/tree.30	49	109	long-tree	49	47	95	26.854441	0.282678326316	0.181814	1.117297	2.62864334694	2.521622	3.909725	8.51020408163	9	14	5.951082	13.683736
32	train	data/zenodo_raw/data_pandit/aa/32/tree.32	8	212	mid-tree	8	6	13	12.592498	0.968653692308	0.22457	5.188604	2.8265425	3.0791625	5.188604	2.75	3	4	5.951082	13.683736
33	train	data/zenodo_raw/data_pandit/aa/33/tree.33	50	131	long-tree	50	48	97	41.077618	0.423480597938	0.312846	1.630411	3.7489099	3.7010765	5.323824	9.34	10	15	5.951082	13.683736
40	train	data/zenodo_raw/data_pandit/aa/40/tree.40	108	120	long-tree	108	106	213	113.917913	0.534825882629	0.389718	2.274041	2.68576130556	2.655079	4.142013	11.5925925926	12	17	5.951082	13.683736
43	train	data/zenodo_raw/data_pandit/aa/43/tree.43	114	210	long-tree	114	112	225	61.616818	0.273852524444	0.210397	3.604338	1.85669342982	1.5166765	6.410213	18.7719298246	21	31	5.951082	13.683736
48	train	data/zenodo_raw/data_pandit/aa/48/tree.48	28	176	long-tree	28	26	53	15.79083	0.297940188679	0.203526	1.488264	3.41763121429	3.716192	4.622624	7.5	8	13	5.951082	13.683736
49	train	data/zenodo_raw/data_pandit/aa/49/tree.49	52	66	long-tree	52	50	101	21.553139	0.213397415842	0.169285	0.959078	2.08580201923	2.201418	3.331348	9.51923076923	10	16	5.951082	13.683736
51	train	data/zenodo_raw/data_pandit/aa/51/tree.51	9	150	short-tree	9	7	15	5.071515	0.338101	0.352044	0.88965	1.47619266667	1.630755	2.503586	3.55555555556	4	5	5.951082	13.683736
55	train	data/zenodo_raw/data_pandit/aa/55/tree.55	30	175	long-tree	30	28	57	19.39531	0.340268596491	0.203173	1.566119	3.2958827	3.661912	5.14938	7.4	8	11	5.951082	13.683736
56	train	data/zenodo_raw/data_pandit/aa/56/tree.56	53	62	long-tree	53	51	103	30.287946	0.294057728155	0.180016	2.539783	1.62861735849	1.619342	4.684131	8.60377358491	9	13	5.951082	13.683736
57	train	data/zenodo_raw/data_pandit/aa/57/tree.57	28	57	long-tree	28	26	53	21.323387	0.402328056604	0.161625	2.643799	2.81262703571	3.1937955	4.997951	6.96428571429	7.5	11	5.951082	13.683736
60	train	data/zenodo_raw/data_pandit/aa/60/tree.60	157	186	long-tree	157	155	311	85.167509	0.273850511254	0.181599	2.738268	3.42478580255	3.250485	5.746289	11.9426751592	12	18	5.951082	13.683736
61	train	data/zenodo_raw/data_pandit/aa/61/tree.61	21	128	mid-tree	21	19	39	7.993131	0.204952076923	0.162313	0.902481	0.967525095238	0.847408	1.976898	7.90476190476	9	14	5.951082	13.683736
62	train	data/zenodo_raw/data_pandit/aa/62/tree.62	24	956	long-tree	24	22	45	23.350582	0.518901822222	0.297381	4.593248	6.03082720833	6.4923615	7.241889	7.375	8	11	5.951082	13.683736
63	train	data/zenodo_raw/data_pandit/aa/63/tree.63	7	486	short-tree	7	5	11	5.935566	0.539596909091	0.332239	2.48984	1.09893142857	1.168865	2.48984	2.57142857143	2	4	5.951082	13.683736
64	train	data/zenodo_raw/data_pandit/aa/64/tree.64	10	42	mid-tree	10	8	17	8.251721	0.485395352941	0.378539	1.542921	2.3260228	2.59414	4.109711	4.5	4.5	8	5.951082	13.683736
65	train	data/zenodo_raw/data_pandit/aa/65/tree.65	51	559	long-tree	51	49	99	41.363782	0.417815979798	0.245843	3.100753	2.56593588235	2.520393	4.029615	8.23529411765	9	12	5.951082	13.683736
66	train	data/zenodo_raw/data_pandit/aa/66/tree.66	37	138	long-tree	37	35	71	15.502711	0.218348042254	0.173346	0.986474	1.46791440541	1.526858	2.599199	7.78378378378	8	14	5.951082	13.683736
67	train	data/zenodo_raw/data_pandit/aa/67/tree.67	54	473	long-tree	54	52	105	66.129949	0.629809038095	0.617495	2.740017	2.03214416667	1.9978955	3.589992	7.48148148148	8	12	5.951082	13.683736
70	train	data/zenodo_raw/data_pandit/aa/70/tree.70	54	158	long-tree	54	52	105	65.258612	0.621510590476	0.520092	3.221516	1.88824396296	1.7589075	4.700831	7.96296296296	9	12	5.951082	13.683736
71	train	data/zenodo_raw/data_pandit/aa/71/tree.71	52	313	long-tree	52	50	101	43.509214	0.43078429703	0.260109	3.694008	6.69359434615	7.6899355	9.425781	7.69230769231	8	12	5.951082	13.683736
73	train	data/zenodo_raw/data_pandit/aa/73/tree.73	67	246	long-tree	67	65	131	54.349711	0.414883290076	0.245485	2.019003	2.305627	2.2301	3.861823	9.37313432836	10	13	5.951082	13.683736
74	train	data/zenodo_raw/data_pandit/aa/74/tree.74	79	80	long-tree	79	77	155	84.080271	0.54245336129	0.461143	1.841294	2.14287082278	2.041143	3.815872	10.0253164557	10	16	5.951082	13.683736
75	train	data/zenodo_raw/data_pandit/aa/75/tree.75	51	127	long-tree	51	49	99	51.044612	0.515602141414	0.25772	6.64671	4.03150133333	4.124328	10.286602	11.3137254902	11	21	5.951082	13.683736
76	train	data/zenodo_raw/data_pandit/aa/76/tree.76	164	397	long-tree	164	162	325	135.36366	0.416503569231	0.269276	3.240431	4.00592772561	4.441476	6.736376	13.237804878	14	19	5.951082	13.683736
77	train	data/zenodo_raw/data_pandit/aa/77/tree.77	42	423	long-tree	42	40	81	30.141184	0.372113382716	0.200796	2.092748	1.80693440476	1.779408	3.318413	10.380952381	11	17	5.951082	13.683736
78	train	data/zenodo_raw/data_pandit/aa/78/tree.78	28	203	long-tree	28	26	53	14.594759	0.275372811321	0.15554	1.406396	1.448984	1.1346465	3.355906	7.07142857143	7	12	5.951082	13.683736
80	train	data/zenodo_raw/data_pandit/aa/80/tree.80	45	764	long-tree	45	43	87	39.453886	0.453492942529	0.268425	3.399897	2.42130237778	2.312613	5.338934	7.55555555556	8	13	5.951082	13.683736
81	train	data/zenodo_raw/data_pandit/aa/81/tree.81	49	617	long-tree	49	47	95	56.348368	0.593140715789	0.282563	5.954966	3.3414054898	3.174491	7.567695	9.9387755102	10	16	5.951082	13.683736
82	train	data/zenodo_raw/data_pandit/aa/82/tree.82	80	92	long-tree	80	78	157	110.006399	0.700677700637	0.59273	3.123823	4.3882525	4.370563	6.579724	12.475	13	20	5.951082	13.683736
83	train	data/zenodo_raw/data_pandit/aa/83/tree.83	51	122	long-tree	51	49	99	29.797551	0.300985363636	0.225214	1.586309	2.13288843137	2.27022	3.967293	10.0588235294	12	15	5.951082	13.683736
84	train	data/zenodo_raw/data_pandit/aa/84/tree.84	20	84	mid-tree	20	18	37	13.63386	0.368482702703	0.267326	2.170573	1.8372739	1.640097	4.498172	4.7	4.5	7	5.951082	13.683736
85	train	data/zenodo_raw/data_pandit/aa/85/tree.85	48	81	long-tree	48	46	93	15.7776	0.169651612903	0.12276	0.82731	1.5979189375	1.6901	2.656513	9.91666666667	10	16	5.951082	13.683736
87	train	data/zenodo_raw/data_pandit/aa/87/tree.87	76	355	long-tree	76	74	149	68.106862	0.457093033557	0.318585	2.432663	3.83145765789	4.0590075	6.347018	15.9605263158	17	24	5.951082	13.683736
89	train	data/zenodo_raw/data_pandit/aa/89/tree.89	126	285	long-tree	126	124	249	53.49897	0.214855301205	0.136532	2.859115	3.53949243651	2.119386	6.695725	18.5952380952	20	31	5.951082	13.683736
90	train	data/zenodo_raw/data_pandit/aa/90/tree.90	195	296	long-tree	195	193	387	129.15402	0.333731317829	0.209546	1.907078	2.60852845641	2.594765	4.087578	14.6615384615	14	27	5.951082	13.683736
91	train	data/zenodo_raw/data_pandit/aa/91/tree.91	20	99	long-tree	20	18	37	15.591289	0.421386189189	0.25804	1.839755	2.53438455	2.6909855	4.791806	6.55	7.5	10	5.951082	13.683736
92	train	data/zenodo_raw/data_pandit/aa/92/tree.92	69	215	long-tree	69	67	135	61.636815	0.456569	0.310964	1.790423	3.1095454058	3.040619	4.947432	10.3188405797	10	18	5.951082	13.683736
97	train	data/zenodo_raw/data_pandit/aa/97/tree.97	84	403	long-tree	84	82	165	58.772624	0.356197721212	0.206086	2.079157	3.64120409524	4.2970395	5.975768	14.0595238095	15	22	5.951082	13.683736
98	train	data/zenodo_raw/data_pandit/aa/98/tree.98	49	128	long-tree	49	47	95	15.204584	0.160048252632	0.131852	0.685383	1.70644381633	2.056353	2.409145	9.65306122449	9	18	5.951082	13.683736
100	train	data/zenodo_raw/data_pandit/aa/100/tree.100	17	237	long-tree	17	15	31	14.701823	0.474252354839	0.29678	1.464086	1.83026588235	1.781856	2.513237	4.82352941176	6	7	5.951082	13.683736
102	train	data/zenodo_raw/data_pandit/aa/102/tree.102	27	80	mid-tree	27	25	51	13.441533	0.263559470588	0.180488	1.161694	1.41371522222	1.471532	2.48123	8.22222222222	9	13	5.951082	13.683736
105	train	data/zenodo_raw/data_pandit/aa/105/tree.105	22	291	mid-tree	22	20	41	13.572938	0.331047268293	0.28576	0.917477	2.1591105	2.3456935	2.796111	6.31818181818	7	10	5.951082	13.683736
106	train	data/zenodo_raw/data_pandit/aa/106/tree.106	169	347	long-tree	169	167	335	100.441573	0.299825591045	0.191003	3.210305	2.84924678698	1.964228	5.835939	15.1420118343	16	25	5.951082	13.683736
107	train	data/zenodo_raw/data_pandit/aa/107/tree.107	15	394	mid-tree	15	13	27	13.549735	0.501842037037	0.308249	1.888717	1.36471746667	1.3057	2.544793	4.73333333333	4	8	5.951082	13.683736
109	train	data/zenodo_raw/data_pandit/aa/109/tree.109	162	367	long-tree	162	160	321	65.941562	0.205425426791	0.142426	1.655546	1.53825817901	1.3666275	3.064617	17.7592592593	18	35	5.951082	13.683736
110	train	data/zenodo_raw/data_pandit/aa/110/tree.110	11	298	short-tree	11	9	19	4.173176	0.219640842105	0.177221	0.767987	0.969317454545	1.162958	1.267025	3.63636363636	4	6	5.951082	13.683736
111	train	data/zenodo_raw/data_pandit/aa/111/tree.111	23	155	long-tree	23	21	43	17.269391	0.401613744186	0.280554	1.174822	2.04772613043	1.88404	3.288793	5.69565217391	5	10	5.951082	13.683736
112	train	data/zenodo_raw/data_pandit/aa/112/tree.112	24	524	long-tree	24	22	45	21.886646	0.486369911111	0.232014	6.242251	2.04422204167	1.3675585	8.575926	6.04166666667	6.5	10	5.951082	13.683736
113	train	data/zenodo_raw/data_pandit/aa/113/tree.113	32	136	long-tree	32	30	61	19.412052	0.318230360656	0.16945	2.307677	1.540262	0.698981	6.605161	6.3125	7	9	5.951082	13.683736
114	train	data/zenodo_raw/data_pandit/aa/114/tree.114	137	292	long-tree	137	135	271	81.230283	0.299742741697	0.216702	2.538711	4.21113208759	4.178817	6.993467	11.5766423358	12	20	5.951082	13.683736
115	train	data/zenodo_raw/data_pandit/aa/115/tree.115	41	625	long-tree	41	39	79	44.127818	0.558579974684	0.409785	2.439043	2.90238458537	2.761614	5.783739	8.73170731707	9	13	5.951082	13.683736
116	train	data/zenodo_raw/data_pandit/aa/116/tree.116	30	198	long-tree	30	28	57	35.421297	0.621426263158	0.317819	5.489892	4.5452801	4.165011	9.525361	7.53333333333	8	11	5.951082	13.683736
117	train	data/zenodo_raw/data_pandit/aa/117/tree.117	106	340	long-tree	106	104	209	55.483322	0.265470440191	0.1632	2.584696	3.0292990283	2.7975875	5.740228	15.6320754717	16.5	25	5.951082	13.683736
120	train	data/zenodo_raw/data_pandit/aa/120/tree.120	26	28	mid-tree	26	24	49	10.571332	0.215741469388	0.18151	0.720575	1.13490619231	1.0746225	2.009465	5.92307692308	5	11	5.951082	13.683736
125	train	data/zenodo_raw/data_pandit/aa/125/tree.125	54	673	long-tree	54	52	105	41.842622	0.398501161905	0.270895	1.932773	2.90548416667	2.783905	4.391391	10.5	12	17	5.951082	13.683736
126	train	data/zenodo_raw/data_pandit/aa/126/tree.126	25	181	mid-tree	25	23	47	11.509785	0.244889042553	0.124885	3.387944	0.66468032	0.442332	3.86093	5.16	5	7	5.951082	13.683736
128	train	data/zenodo_raw/data_pandit/aa/128/tree.128	21	80	mid-tree	21	19	39	7.028355	0.180214230769	0.121697	0.801846	1.33300528571	0.701798	2.620013	6.7619047619	6	10	5.951082	13.683736
131	train	data/zenodo_raw/data_pandit/aa/131/tree.131	150	194	long-tree	150	148	297	139.884022	0.470989973064	0.199505	8.879867	3.15596987333	2.381369	10.941877	12.78	13	25	5.951082	13.683736
134	train	data/zenodo_raw/data_pandit/aa/134/tree.134	35	70	long-tree	35	33	67	22.111499	0.330022373134	0.221915	1.297896	3.43590191429	3.707691	5.239858	9.4	9	15	5.951082	13.683736
136	train	data/zenodo_raw/data_pandit/aa/136/tree.136	22	229	mid-tree	22	20	41	12.930989	0.31538997561	0.237611	0.871468	1.24851127273	1.3135955	1.948353	6.31818181818	7	10	5.951082	13.683736
139	train	data/zenodo_raw/data_pandit/aa/139/tree.139	16	282	mid-tree	16	14	29	8.402308	0.289734758621	0.13648	1.458724	1.1464363125	0.8857775	2.246436	4.9375	5	7	5.951082	13.683736
140	train	data/zenodo_raw/data_pandit/aa/140/tree.140	17	193	mid-tree	17	15	31	7.888047	0.254453129032	0.14321	1.706273	0.962165470588	0.844108	2.289461	4.52941176471	5	7	5.951082	13.683736
141	train	data/zenodo_raw/data_pandit/aa/141/tree.141	130	690	long-tree	130	128	257	134.556443	0.52356592607	0.313627	2.415172	3.82738661538	3.9200465	5.857601	10.2692307692	10	18	5.951082	13.683736
142	train	data/zenodo_raw/data_pandit/aa/142/tree.142	31	546	long-tree	31	29	59	35.198654	0.596587355932	0.309528	2.974427	3.07962387097	3.101158	4.618384	7.58064516129	8	11	5.951082	13.683736
143	train	data/zenodo_raw/data_pandit/aa/143/tree.143	25	344	long-tree	25	23	47	23.071626	0.490885659574	0.224813	8.690024	2.48687652	2.452356	10.4416	6.48	7	12	5.951082	13.683736
144	train	data/zenodo_raw/data_pandit/aa/144/tree.144	11	272	short-tree	11	9	19	5.505829	0.289780473684	0.183593	0.77326	1.40370654545	1.848875	2.079734	4.72727272727	6	8	5.951082	13.683736
145	train	data/zenodo_raw/data_pandit/aa/145/tree.145	31	568	long-tree	31	29	59	20.846514	0.353330745763	0.286274	1.121941	2.67832867742	3.023252	3.644336	6.12903225806	6	10	5.951082	13.683736
147	train	data/zenodo_raw/data_pandit/aa/147/tree.147	67	513	long-tree	67	65	131	45.56765	0.347844656489	0.231379	2.026948	2.40443498507	2.505449	3.514346	8.25373134328	8	14	5.951082	13.683736
148	train	data/zenodo_raw/data_pandit/aa/148/tree.148	16	379	mid-tree	16	14	29	11.149929	0.384480310345	0.200814	2.538017	2.931495875	3.522159	4.955494	4.75	5.5	7	5.951082	13.683736
151	train	data/zenodo_raw/data_pandit/aa/151/tree.151	28	329	mid-tree	28	26	53	9.397219	0.177306018868	0.140432	0.681782	0.906992464286	0.929533	1.289021	7.21428571429	7	12	5.951082	13.683736
