msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	sampling	model	indels
syn_000000	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000000.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000000/tree/syn_000000.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000001	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000001.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000001/tree/syn_000001.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000002	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000002.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000002/tree/syn_000002.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000003	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000003.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000003/tree/syn_000003.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000004	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000004.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000004/tree/syn_000004.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000005	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000005.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000005/tree/syn_000005.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000006	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000006.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000006/tree/syn_000006.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000007	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000007.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000007/tree/syn_000007.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000008	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000008.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000008/tree/syn_000008.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000009	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000009.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000009/tree/syn_000009.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000010	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000010.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000010/tree/syn_000010.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000011	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000011.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000011/tree/syn_000011.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000012	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000012.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000012/tree/syn_000012.nwk	50	500		pf2-native-fixed	LG+G8	yes
syn_000013	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/msas/syn_000013.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_fixed/metadata/syn_000013/tree/syn_000013.nwk	50	500		pf2-native-fixed	LG+G8	yes
