msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	sampling	model	indels
syn_000008	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000008.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000008/tree/syn_000008.nwk	4	680	5983	pf2-native-size-matched	LG+G8	yes
syn_000012	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000012.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000012/tree/syn_000012.nwk	4	392	3014	pf2-native-size-matched	LG+G8	yes
syn_000017	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000017.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000017/tree/syn_000017.nwk	4	640	5939	pf2-native-size-matched	LG+G8	yes
syn_000039	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000039.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000039/tree/syn_000039.nwk	4	655	5346	pf2-native-size-matched	LG+G8	yes
syn_000047	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000047.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000047/tree/syn_000047.nwk	4	177	4039	pf2-native-size-matched	LG+G8	yes
syn_000056	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000056.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000056/tree/syn_000056.nwk	4	97	5196	pf2-native-size-matched	LG+G8	yes
syn_000057	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000057.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000057/tree/syn_000057.nwk	4	655	4958	pf2-native-size-matched	LG+G8	yes
syn_000059	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000059.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000059/tree/syn_000059.nwk	4	177	3712	pf2-native-size-matched	LG+G8	yes
syn_000062	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000062.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000062/tree/syn_000062.nwk	4	106	3371	pf2-native-size-matched	LG+G8	yes
syn_000074	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000074.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000074/tree/syn_000074.nwk	4	82	3727	pf2-native-size-matched	LG+G8	yes
syn_000131	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000131.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000131/tree/syn_000131.nwk	4	81	5084	pf2-native-size-matched	LG+G8	yes
syn_000147	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000147.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000147/tree/syn_000147.nwk	4	224	2770	pf2-native-size-matched	LG+G8	yes
syn_000150	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000150.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000150/tree/syn_000150.nwk	4	211	5260	pf2-native-size-matched	LG+G8	yes
syn_000173	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000173.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000173/tree/syn_000173.nwk	4	178	7107	pf2-native-size-matched	LG+G8	yes
syn_000199	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000199.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000199/tree/syn_000199.nwk	4	680	5983	pf2-native-size-matched	LG+G8	yes
syn_000203	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000203.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000203/tree/syn_000203.nwk	4	633	3467	pf2-native-size-matched	LG+G8	yes
syn_000204	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000204.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000204/tree/syn_000204.nwk	4	163	1037	pf2-native-size-matched	LG+G8	yes
syn_000238	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000238.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000238/tree/syn_000238.nwk	4	95	2156	pf2-native-size-matched	LG+G8	yes
syn_000242	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000242.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000242/tree/syn_000242.nwk	4	203	2554	pf2-native-size-matched	LG+G8	yes
syn_000257	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000257.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000257/tree/syn_000257.nwk	4	195	3269	pf2-native-size-matched	LG+G8	yes
syn_000262	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000262.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000262/tree/syn_000262.nwk	4	163	6593	pf2-native-size-matched	LG+G8	yes
syn_000269	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000269.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000269/tree/syn_000269.nwk	4	106	2944	pf2-native-size-matched	LG+G8	yes
syn_000272	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000272.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000272/tree/syn_000272.nwk	4	140	1781	pf2-native-size-matched	LG+G8	yes
syn_000276	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000276.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000276/tree/syn_000276.nwk	4	724	5190	pf2-native-size-matched	LG+G8	yes
syn_000290	synthetic	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/msas/syn_000290.fa	runs/pandit_domain_adaptation/stage3_pf2_native_pca_size_matched/metadata/syn_000290/tree/syn_000290.nwk	4	199	3919	pf2-native-size-matched	LG+G8	yes
