msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	source_gap_ratio	source_informative_site_ratio	source_gamma_alpha	model	model_without_alpha	best_model	best_model_base	has_G	has_I	has_F	gap_bucket	base_indel_rate	base_indel_size	indel_rate	indel_size	length_bin	override_applied	override_reason	indel_fallback_note	tree_bucket	source_total_tree_length	target_total_tree_length	tree_scale	indels
pandit_like_017476	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_017476.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_017476/tree/pandit_like_017476.nwk	171	696	678	0.530600927606	0.708333333333	1.6842	WAG+F+G4{1.6842}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	116.1493206626	116.1493206626	1.94930505325	0.007,0.007
pandit_like_017774	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_017774.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_017774/tree/pandit_like_017774.nwk	171	696	678	0.530600927606	0.708333333333	1.6842	WAG+F+G4{1.6842}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	116.1493206626	116.1493206626	9.28492095264	0.007,0.007
pandit_like_001110	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_001110.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_001110/tree/pandit_like_001110.nwk	174	1003	3136	0.7233815794	0.428713858425	0.6466	WAG+F+G4{0.6466}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	163.6651825536	163.6651825536	91.1507591094	0.007,0.007
pandit_like_002529	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_002529.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_002529/tree/pandit_like_002529.nwk	174	242	2572	0.351334663247	0.818181818182	1.1504	LG+G4{1.1504}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.0065	GEO{3},GEO{3}	100_299	yes	length_bin:100_299	planned	source-row-tree	106.8845337464	106.8845337464	5.34301530054	0.0065,0.0065
pandit_like_002818	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_002818.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_002818/tree/pandit_like_002818.nwk	174	1003	3136	0.7233815794	0.428713858425	0.6466	WAG+F+G4{0.6466}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	163.6651825536	163.6651825536	7.98894520657	0.007,0.007
pandit_like_003508	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_003508.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_003508/tree/pandit_like_003508.nwk	174	1003	3136	0.7233815794	0.428713858425	0.6466	WAG+F+G4{0.6466}	WAG+F+G4		WAG	True	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	163.6651825536	163.6651825536	4.72927582934	0.007,0.007
pandit_like_010031	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_010031.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_010031/tree/pandit_like_010031.nwk	174	242	2572	0.351334663247	0.818181818182	1.1504	LG+G4{1.1504}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.0065	GEO{3},GEO{3}	100_299	yes	length_bin:100_299	planned	source-row-tree	106.8845337464	106.8845337464	3.99372699994	0.0065,0.0065
pandit_like_010982	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_010982.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_010982/tree/pandit_like_010982.nwk	174	242	2572	0.351334663247	0.818181818182	1.1504	LG+G4{1.1504}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.0065	GEO{3},GEO{3}	100_299	yes	length_bin:100_299	planned	source-row-tree	106.8845337464	106.8845337464	4.5799813718	0.0065,0.0065
pandit_like_011505	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_011505.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_011505/tree/pandit_like_011505.nwk	174	242	2572	0.351334663247	0.818181818182	1.1504	LG+G4{1.1504}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.0065	GEO{3},GEO{3}	100_299	yes	length_bin:100_299	planned	source-row-tree	106.8845337464	106.8845337464	2.81065825063	0.0065,0.0065
pandit_like_013398	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_013398.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_013398/tree/pandit_like_013398.nwk	174	242	2572	0.351334663247	0.818181818182	1.1504	LG+G4{1.1504}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.0065	GEO{3},GEO{3}	100_299	yes	length_bin:100_299	planned	source-row-tree	106.8845337464	106.8845337464	5.22670154413	0.0065,0.0065
