msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	source_gap_ratio	source_informative_site_ratio	source_gamma_alpha	model	model_without_alpha	best_model	best_model_base	has_G	has_I	has_F	gap_bucket	base_indel_rate	base_indel_size	indel_rate	indel_size	length_bin	override_applied	override_reason	indel_fallback_note	tree_bucket	source_total_tree_length	target_total_tree_length	tree_scale	indels	estimated_total_flash_mib
pandit_like_002276	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_002276.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_002276/tree/pandit_like_002276.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	8.99130475714	0.007,0.007	72472.2
pandit_like_003206	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_003206.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_003206/tree/pandit_like_003206.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	19.2205627179	0.007,0.007	72472.2
pandit_like_003366	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_003366.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_003366/tree/pandit_like_003366.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	86.2750468033	0.007,0.007	72472.2
pandit_like_006039	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_006039.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_006039/tree/pandit_like_006039.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.14919078396	0.007,0.007	72472.2
pandit_like_006547	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_006547.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_006547/tree/pandit_like_006547.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	4.829573519	0.007,0.007	72472.2
pandit_like_012077	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_012077.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_012077/tree/pandit_like_012077.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	7.7270907439	0.007,0.007	72472.2
pandit_like_017172	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_017172.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_017172/tree/pandit_like_017172.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	6.60350278425	0.007,0.007	72472.2
pandit_like_020727	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_020727.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_020727/tree/pandit_like_020727.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	4.35947536149	0.007,0.007	72472.2
pandit_like_032317	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_032317.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_032317/tree/pandit_like_032317.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	103.296744259	0.007,0.007	72472.2
pandit_like_036347	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_036347.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_036347/tree/pandit_like_036347.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	12.4355418726	0.007,0.007	72472.2
pandit_like_038496	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/msas/pandit_like_038496.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_200k/metadata/pandit_like_038496/tree/pandit_like_038496.nwk	256	549	280	0.627077641166	0.72131147541	1.3034	LG+G4{1.3034}	LG+G4		LG	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	188.7636188627	188.7636188627	2.96942645119	0.007,0.007	72472.2
