base_batch_size	taxa	requested_batch_size	actual_batch_size	max_alignment_length	mean_alignment_length	status	peak_allocated_mib	peak_reserved_mib	elapsed_sec	loss	msa_ids	error
8	104	1	1	944	944.0	ok	22935.6	28678.0	4.107	-168.794	pandit_like_002849	
8	113	1	1	1078	1078.0	ok	28490.8	36380.0	4.537	-141.21	pandit_like_002238	
8	119	1	1	754	754.0	ok	23884.3	29880.0	4.786	-167.05	pandit_like_009828	
8	121	1	1	671	671.0	ok	22606.0	28018.0	4.240	-174.663	pandit_like_002409	
8	122	1	1	616	616.0	ok	21664.4	26782.0	4.385	-168.179	pandit_like_008932	
8	130	1	1	690	690.0	ok	25710.6	32128.0	4.896	-166.256	pandit_like_000500	
8	132	1	1	749	749.0	ok	27735.4	34898.0	5.137	-200.506	pandit_like_002530	
8	140	1	1	730	730.0	ok	29942.6	44624.0	5.417	-191.13	pandit_like_002855	
8	152	1	1	556	556.0	ok	29459.8	36364.0	5.913	-259.558	pandit_like_007303	
8	157	1	1	994	994.0	ok	43894.7	56116.0	6.887	-517.189	pandit_like_001689	
8	162	1	1	367	367.0	ok	27525.7	32494.0	6.202	-466.01	pandit_like_002768	
8	164	1	1	397	397.0	ok	28824.7	34338.0	6.037	-278.031	pandit_like_000346	
8	169	1	1	347	347.0	ok	29055.6	39232.0	6.307	-408.12	pandit_like_000902	
8	171	1	1	696	696.0	ok	40723.6	51892.0	7.256	-252.249	pandit_like_004377	
8	174	1	1	1003	1003.0	ok	52367.9	67594.0	9.022	-309.527	pandit_like_005497	
8	184	1	1	253	253.0	ok	30930.2	31590.0	6.946	-447.405	pandit_like_001042	
8	185	1	1	269	269.0	ok	31856.6	32388.0	6.889	-433.25	pandit_like_001015	
8	195	1	1	296	296.0	ok	36605.4	37544.0	7.866	-379.764	pandit_like_001644	
8	200	1	1	218	218.0	ok	35617.5	36286.0	7.838	-595.954	pandit_like_002345	
8	201	1	1	548	548.0	ok	48817.5	60218.0	8.899	-384.013	pandit_like_006705	
8	205	1	1	314	314.0	ok	41473.7	55272.0	8.873	-653.07	pandit_like_008889	
8	226	1	1	379	379.0	ok	54346.2	73510.0	10.587	-517.502	pandit_like_002140	
8	247	1	1	319	319.0	ok	62549.0	72886.0	13.194	-809.785	pandit_like_000307	
8	252	1	1	273	273.0	ok	63427.7	72312.0	12.962	-1096.58	pandit_like_007999	
16	104	3	3	944	944.0	ok	67346.7	67620.0	7.658	-148.063	pandit_like_002849,pandit_like_005284,pandit_like_012419	
16	113	3	3	1078	1078.0	oom					pandit_like_002238,pandit_like_019012,pandit_like_020922	CUDA out of memory. Tried to allocate 4.57 GiB. GPU 0 has a total capacity of 79.25 GiB of which 782.94 MiB is free. Including non-PyTorch memory, this process has 78.36 GiB memory in use. Of the allocated memory 77.23 GiB is allocated by PyTorch, and 641.81 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
16	119	2	2	754	754.0	ok	47032.3	68002.0	6.370	-168.702	pandit_like_009828,pandit_like_015348	
16	121	2	2	671	671.0	ok	44459.6	54906.0	5.746	-182.441	pandit_like_002409,pandit_like_004652	
16	122	2	2	616	616.0	ok	42629.9	52324.0	5.519	-165.162	pandit_like_008932,pandit_like_019077	
16	130	2	2	690	690.0	ok	50668.5	62656.0	6.467	-156.435	pandit_like_000500,pandit_like_014379	
16	132	2	2	749	749.0	ok	54849.3	80566.0	6.918	-186.935	pandit_like_002530,pandit_like_005689	
16	140	2	2	730	730.0	ok	59232.0	73478.0	7.988	-188.894	pandit_like_002855,pandit_like_005132	
16	152	1	1	556	556.0	ok	29427.2	36316.0	5.990	-259.558	pandit_like_007303	
16	157	1	1	994	994.0	ok	43894.7	56116.0	6.868	-517.189	pandit_like_001689	
16	162	1	1	367	367.0	ok	27525.7	32494.0	6.183	-466.01	pandit_like_002768	
16	164	1	1	397	397.0	ok	28824.7	34336.0	6.031	-278.031	pandit_like_000346	
16	169	1	1	347	347.0	ok	29055.6	39232.0	6.277	-408.12	pandit_like_000902	
16	171	1	1	696	696.0	ok	40723.6	51894.0	7.259	-252.249	pandit_like_004377	
16	174	1	1	1003	1003.0	ok	52367.9	67594.0	8.222	-309.527	pandit_like_005497	
16	184	1	1	253	253.0	ok	30940.3	35970.0	7.355	-447.405	pandit_like_001042	
16	185	1	1	269	269.0	ok	31865.0	37104.0	7.051	-433.25	pandit_like_001015	
16	195	1	1	296	296.0	ok	36612.9	43232.0	7.846	-379.764	pandit_like_001644	
16	200	1	1	218	218.0	ok	35681.4	36436.0	7.978	-595.954	pandit_like_002345	
16	201	1	1	548	548.0	ok	48817.5	60218.0	8.984	-384.013	pandit_like_006705	
16	205	1	1	314	314.0	ok	41471.6	55262.0	9.327	-653.07	pandit_like_008889	
16	226	1	1	379	379.0	ok	54346.2	73510.0	13.365	-517.502	pandit_like_002140	
16	247	1	1	319	319.0	ok	62549.0	72876.0	15.619	-809.785	pandit_like_000307	
16	252	1	1	273	273.0	ok	63427.7	72312.0	13.115	-1096.58	pandit_like_007999	
24	104	5	5	944	944.0	oom					pandit_like_002849,pandit_like_005284,pandit_like_012419,pandit_like_013441,pandit_like_013979	CUDA out of memory. Tried to allocate 780.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 714.94 MiB is free. Including non-PyTorch memory, this process has 78.48 GiB memory in use. Of the allocated memory 77.78 GiB is allocated by PyTorch, and 203.85 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	113	4	4	1078	1078.0	oom					pandit_like_002238,pandit_like_019012,pandit_like_020922,pandit_like_025251	CUDA out of memory. Tried to allocate 842.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 768.94 MiB is free. Including non-PyTorch memory, this process has 78.43 GiB memory in use. Of the allocated memory 77.56 GiB is allocated by PyTorch, and 377.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	119	4	4	754	754.0	oom					pandit_like_009828,pandit_like_015348,pandit_like_016907,pandit_like_017523	CUDA out of memory. Tried to allocate 56.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 12.94 MiB is free. Including non-PyTorch memory, this process has 79.22 GiB memory in use. Of the allocated memory 78.34 GiB is allocated by PyTorch, and 390.50 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	121	4	4	671	671.0	oom					pandit_like_002409,pandit_like_004652,pandit_like_006234,pandit_like_008763	CUDA out of memory. Tried to allocate 58.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 960.00 KiB is free. Including non-PyTorch memory, this process has 79.24 GiB memory in use. Of the allocated memory 78.07 GiB is allocated by PyTorch, and 684.60 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	122	4	4	616	616.0	oom					pandit_like_008932,pandit_like_019077,pandit_like_027094,pandit_like_031812	CUDA out of memory. Tried to allocate 7.12 GiB. GPU 0 has a total capacity of 79.25 GiB of which 3.27 GiB is free. Including non-PyTorch memory, this process has 75.97 GiB memory in use. Of the allocated memory 75.07 GiB is allocated by PyTorch, and 403.12 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	130	3	3	690	690.0	ok	75448.9	75958.0	10.205	-169.494	pandit_like_000500,pandit_like_014379,pandit_like_014437	
24	132	3	3	749	749.0	oom					pandit_like_002530,pandit_like_005689,pandit_like_008607	CUDA out of memory. Tried to allocate 6.26 GiB. GPU 0 has a total capacity of 79.25 GiB of which 4.76 GiB is free. Including non-PyTorch memory, this process has 74.48 GiB memory in use. Of the allocated memory 73.32 GiB is allocated by PyTorch, and 675.83 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	140	3	3	730	730.0	oom					pandit_like_002855,pandit_like_005132,pandit_like_009703	CUDA out of memory. Tried to allocate 58.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 12.94 MiB is free. Including non-PyTorch memory, this process has 79.23 GiB memory in use. Of the allocated memory 78.15 GiB is allocated by PyTorch, and 589.00 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	152	2	2	556	556.0	ok	57983.1	71448.0	9.341	-273.766	pandit_like_007303,pandit_like_012858	
24	157	2	2	994	994.0	oom					pandit_like_001689,pandit_like_007460	CUDA out of memory. Tried to allocate 48.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 10.94 MiB is free. Including non-PyTorch memory, this process has 79.23 GiB memory in use. Of the allocated memory 78.55 GiB is allocated by PyTorch, and 179.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	162	2	2	367	367.0	ok	53598.7	73360.0	8.648	-365.432	pandit_like_002768,pandit_like_004183	
24	164	2	2	397	397.0	ok	56825.8	77896.0	8.628	-345.882	pandit_like_000346,pandit_like_000414	
24	169	2	2	347	347.0	ok	57017.2	67210.0	8.743	-358.727	pandit_like_000902,pandit_like_003138	
24	171	2	2	696	696.0	oom					pandit_like_004377,pandit_like_005334	CUDA out of memory. Tried to allocate 7.04 GiB. GPU 0 has a total capacity of 79.25 GiB of which 6.21 GiB is free. Including non-PyTorch memory, this process has 73.03 GiB memory in use. Of the allocated memory 71.68 GiB is allocated by PyTorch, and 863.22 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
24	174	1	1	1003	1003.0	ok	52383.2	67622.0	9.888	-309.527	pandit_like_005497	
24	184	1	1	253	253.0	ok	30930.2	31590.0	6.924	-447.405	pandit_like_001042	
24	185	1	1	269	269.0	ok	31856.6	32388.0	6.848	-433.25	pandit_like_001015	
24	195	1	1	296	296.0	ok	36605.4	37544.0	7.645	-379.764	pandit_like_001644	
24	200	1	1	218	218.0	ok	35617.5	36286.0	7.795	-595.954	pandit_like_002345	
24	201	1	1	548	548.0	ok	48817.5	60218.0	8.900	-384.013	pandit_like_006705	
24	205	1	1	314	314.0	ok	41473.7	55272.0	8.989	-653.07	pandit_like_008889	
24	226	1	1	379	379.0	ok	54346.2	73510.0	10.730	-517.502	pandit_like_002140	
24	247	1	1	319	319.0	ok	62549.0	72886.0	12.939	-809.785	pandit_like_000307	
24	252	1	1	273	273.0	ok	63427.7	72312.0	13.080	-1096.58	pandit_like_007999	
32	104	7	7	944	944.0	oom					pandit_like_002849,pandit_like_005284,pandit_like_012419,pandit_like_013441,pandit_like_013979,pandit_like_022450,pandit_like_030273	CUDA out of memory. Tried to allocate 1.07 GiB. GPU 0 has a total capacity of 79.25 GiB of which 284.94 MiB is free. Including non-PyTorch memory, this process has 78.96 GiB memory in use. Of the allocated memory 78.32 GiB is allocated by PyTorch, and 146.66 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	113	6	6	1078	1078.0	oom					pandit_like_002238,pandit_like_019012,pandit_like_020922,pandit_like_025251,pandit_like_032708,pandit_like_041115	CUDA out of memory. Tried to allocate 1.40 GiB. GPU 0 has a total capacity of 79.25 GiB of which 628.94 MiB is free. Including non-PyTorch memory, this process has 78.62 GiB memory in use. Of the allocated memory 77.08 GiB is allocated by PyTorch, and 1.04 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	119	5	5	754	754.0	oom					pandit_like_009828,pandit_like_015348,pandit_like_016907,pandit_like_017523,pandit_like_023191	CUDA out of memory. Tried to allocate 220.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 86.94 MiB is free. Including non-PyTorch memory, this process has 79.15 GiB memory in use. Of the allocated memory 78.12 GiB is allocated by PyTorch, and 544.91 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	121	5	5	671	671.0	oom					pandit_like_002409,pandit_like_004652,pandit_like_006234,pandit_like_008763,pandit_like_010592	CUDA out of memory. Tried to allocate 596.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 262.94 MiB is free. Including non-PyTorch memory, this process has 78.98 GiB memory in use. Of the allocated memory 77.47 GiB is allocated by PyTorch, and 1.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	122	5	5	616	616.0	oom					pandit_like_008932,pandit_like_019077,pandit_like_027094,pandit_like_031812,pandit_like_044492	CUDA out of memory. Tried to allocate 72.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 24.94 MiB is free. Including non-PyTorch memory, this process has 79.21 GiB memory in use. Of the allocated memory 78.60 GiB is allocated by PyTorch, and 118.61 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	130	4	4	690	690.0	oom					pandit_like_000500,pandit_like_014379,pandit_like_014437,pandit_like_016169	CUDA out of memory. Tried to allocate 66.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 12.94 MiB is free. Including non-PyTorch memory, this process has 79.23 GiB memory in use. Of the allocated memory 78.50 GiB is allocated by PyTorch, and 228.08 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	132	4	4	749	749.0	oom					pandit_like_002530,pandit_like_005689,pandit_like_008607,pandit_like_009280	CUDA out of memory. Tried to allocate 774.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 468.94 MiB is free. Including non-PyTorch memory, this process has 78.78 GiB memory in use. Of the allocated memory 77.83 GiB is allocated by PyTorch, and 458.62 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	140	4	4	730	730.0	oom					pandit_like_002855,pandit_like_005132,pandit_like_009703,pandit_like_012017	CUDA out of memory. Tried to allocate 876.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 498.94 MiB is free. Including non-PyTorch memory, this process has 78.75 GiB memory in use. Of the allocated memory 77.56 GiB is allocated by PyTorch, and 706.02 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	152	3	3	556	556.0	oom					pandit_like_007303,pandit_like_012858,pandit_like_016293	CUDA out of memory. Tried to allocate 8.32 GiB. GPU 0 has a total capacity of 79.25 GiB of which 2.09 GiB is free. Including non-PyTorch memory, this process has 77.15 GiB memory in use. Of the allocated memory 75.97 GiB is allocated by PyTorch, and 701.13 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	157	3	3	994	994.0	oom					pandit_like_001689,pandit_like_007460,pandit_like_010900	CUDA out of memory. Tried to allocate 916.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 508.94 MiB is free. Including non-PyTorch memory, this process has 78.74 GiB memory in use. Of the allocated memory 77.48 GiB is allocated by PyTorch, and 773.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
32	162	3	3	367	367.0	ok	79883.7	79948.0	11.598	-336.022	pandit_like_002768,pandit_like_004183,pandit_like_004270	
32	164	2	2	397	397.0	ok	56838.9	77914.0	8.346	-345.882	pandit_like_000346,pandit_like_000414	
32	169	2	2	347	347.0	ok	57017.2	67210.0	8.736	-358.727	pandit_like_000902,pandit_like_003138	
32	171	2	2	696	696.0	oom					pandit_like_004377,pandit_like_005334	CUDA out of memory. Tried to allocate 7.04 GiB. GPU 0 has a total capacity of 79.25 GiB of which 6.16 GiB is free. Including non-PyTorch memory, this process has 73.08 GiB memory in use. Of the allocated memory 71.69 GiB is allocated by PyTorch, and 912.01 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
