msa_id	num_sequences	alignment_length	pair_count	node_count	total_flash_mib
pandit_like_000637	278	750	38503	555	99523.1
pandit_like_009183	278	750	38503	555	99523.1
pandit_like_020288	278	750	38503	555	99523.1
pandit_like_020570	278	750	38503	555	99523.1
pandit_like_021209	278	750	38503	555	99523.1
pandit_like_027379	278	750	38503	555	99523.1
pandit_like_027604	278	750	38503	555	99523.1
pandit_like_028359	278	750	38503	555	99523.1
pandit_like_034170	278	750	38503	555	99523.1
pandit_like_041404	278	750	38503	555	99523.1
pandit_like_051838	278	750	38503	555	99523.1
pandit_like_059219	278	750	38503	555	99523.1
pandit_like_063163	278	750	38503	555	99523.1
pandit_like_069362	278	750	38503	555	99523.1
pandit_like_072780	278	750	38503	555	99523.1
pandit_like_089367	278	750	38503	555	99523.1
pandit_like_090269	278	750	38503	555	99523.1
pandit_like_093905	278	750	38503	555	99523.1
pandit_like_100002	278	750	38503	555	99523.1
pandit_like_108282	278	750	38503	555	99523.1
pandit_like_109661	278	750	38503	555	99523.1
pandit_like_111676	278	750	38503	555	99523.1
pandit_like_114342	278	750	38503	555	99523.1
pandit_like_115521	278	750	38503	555	99523.1
pandit_like_117926	278	750	38503	555	99523.1
pandit_like_118672	278	750	38503	555	99523.1
pandit_like_129400	278	750	38503	555	99523.1
pandit_like_136105	278	750	38503	555	99523.1
pandit_like_137959	278	750	38503	555	99523.1
pandit_like_139182	278	750	38503	555	99523.1
pandit_like_141157	278	750	38503	555	99523.1
pandit_like_145340	278	750	38503	555	99523.1
pandit_like_151757	278	750	38503	555	99523.1
pandit_like_159719	278	750	38503	555	99523.1
pandit_like_162251	278	750	38503	555	99523.1
pandit_like_173098	278	750	38503	555	99523.1
pandit_like_182264	278	750	38503	555	99523.1
pandit_like_182974	278	750	38503	555	99523.1
pandit_like_183733	278	750	38503	555	99523.1
pandit_like_186120	278	750	38503	555	99523.1
pandit_like_187357	278	750	38503	555	99523.1
pandit_like_194206	278	750	38503	555	99523.1
pandit_like_002276	256	549	32640	511	72472.2
pandit_like_003206	256	549	32640	511	72472.2
pandit_like_003366	256	549	32640	511	72472.2
pandit_like_006039	256	549	32640	511	72472.2
pandit_like_006547	256	549	32640	511	72472.2
pandit_like_012077	256	549	32640	511	72472.2
pandit_like_017172	256	549	32640	511	72472.2
pandit_like_020727	256	549	32640	511	72472.2
pandit_like_032317	256	549	32640	511	72472.2
pandit_like_036347	256	549	32640	511	72472.2
pandit_like_038496	256	549	32640	511	72472.2
pandit_like_039436	256	549	32640	511	72472.2
pandit_like_062476	256	549	32640	511	72472.2
pandit_like_064971	256	549	32640	511	72472.2
pandit_like_065036	256	549	32640	511	72472.2
pandit_like_071680	256	549	32640	511	72472.2
pandit_like_075653	256	549	32640	511	72472.2
pandit_like_076140	256	549	32640	511	72472.2
pandit_like_076621	256	549	32640	511	72472.2
pandit_like_084365	256	549	32640	511	72472.2
pandit_like_096500	256	549	32640	511	72472.2
pandit_like_096625	256	549	32640	511	72472.2
pandit_like_104719	256	549	32640	511	72472.2
pandit_like_106818	256	549	32640	511	72472.2
pandit_like_108232	256	549	32640	511	72472.2
pandit_like_118330	256	549	32640	511	72472.2
pandit_like_121805	256	549	32640	511	72472.2
pandit_like_124858	256	549	32640	511	72472.2
pandit_like_131423	256	549	32640	511	72472.2
pandit_like_145832	256	549	32640	511	72472.2
pandit_like_147292	256	549	32640	511	72472.2
pandit_like_151192	256	549	32640	511	72472.2
pandit_like_152166	256	549	32640	511	72472.2
pandit_like_160952	256	549	32640	511	72472.2
pandit_like_161173	256	549	32640	511	72472.2
pandit_like_170512	256	549	32640	511	72472.2
pandit_like_171998	256	549	32640	511	72472.2
pandit_like_175016	256	549	32640	511	72472.2
pandit_like_182484	256	549	32640	511	72472.2
pandit_like_194642	256	549	32640	511	72472.2
pandit_like_007999	252	273	31626	503	55408.5
pandit_like_012100	252	273	31626	503	55408.5
pandit_like_012599	252	273	31626	503	55408.5
pandit_like_017563	252	273	31626	503	55408.5
pandit_like_018657	252	273	31626	503	55408.5
pandit_like_032469	252	273	31626	503	55408.5
pandit_like_033233	252	273	31626	503	55408.5
pandit_like_033614	252	273	31626	503	55408.5
pandit_like_056521	252	273	31626	503	55408.5
pandit_like_058184	252	273	31626	503	55408.5
pandit_like_058728	252	273	31626	503	55408.5
pandit_like_068861	252	273	31626	503	55408.5
pandit_like_070497	252	273	31626	503	55408.5
pandit_like_074476	252	273	31626	503	55408.5
pandit_like_074519	252	273	31626	503	55408.5
pandit_like_076180	252	273	31626	503	55408.5
pandit_like_082087	252	273	31626	503	55408.5
pandit_like_082563	252	273	31626	503	55408.5
pandit_like_090025	252	273	31626	503	55408.5
pandit_like_100589	252	273	31626	503	55408.5
pandit_like_111731	252	273	31626	503	55408.5
pandit_like_119800	252	273	31626	503	55408.5
pandit_like_126592	252	273	31626	503	55408.5
pandit_like_127830	252	273	31626	503	55408.5
pandit_like_127868	252	273	31626	503	55408.5
pandit_like_133998	252	273	31626	503	55408.5
pandit_like_138904	252	273	31626	503	55408.5
pandit_like_140703	252	273	31626	503	55408.5
pandit_like_146325	252	273	31626	503	55408.5
pandit_like_146540	252	273	31626	503	55408.5
pandit_like_152071	252	273	31626	503	55408.5
pandit_like_155756	252	273	31626	503	55408.5
pandit_like_161439	252	273	31626	503	55408.5
pandit_like_163333	252	273	31626	503	55408.5
pandit_like_174492	252	273	31626	503	55408.5
pandit_like_180830	252	273	31626	503	55408.5
pandit_like_189319	252	273	31626	503	55408.5
pandit_like_197189	252	273	31626	503	55408.5
pandit_like_000307	247	319	30381	493	55147.0
pandit_like_003117	247	319	30381	493	55147.0
pandit_like_005690	247	319	30381	493	55147.0
pandit_like_008906	247	319	30381	493	55147.0
pandit_like_011308	247	319	30381	493	55147.0
pandit_like_021126	247	319	30381	493	55147.0
pandit_like_022238	247	319	30381	493	55147.0
pandit_like_022497	247	319	30381	493	55147.0
pandit_like_023938	247	319	30381	493	55147.0
pandit_like_025232	247	319	30381	493	55147.0
pandit_like_036645	247	319	30381	493	55147.0
pandit_like_037550	247	319	30381	493	55147.0
pandit_like_043600	247	319	30381	493	55147.0
pandit_like_046658	247	319	30381	493	55147.0
pandit_like_047994	247	319	30381	493	55147.0
pandit_like_048631	247	319	30381	493	55147.0
pandit_like_058846	247	319	30381	493	55147.0
pandit_like_059634	247	319	30381	493	55147.0
pandit_like_062866	247	319	30381	493	55147.0
pandit_like_068191	247	319	30381	493	55147.0
pandit_like_073340	247	319	30381	493	55147.0
pandit_like_074693	247	319	30381	493	55147.0
pandit_like_075659	247	319	30381	493	55147.0
pandit_like_078158	247	319	30381	493	55147.0
pandit_like_080358	247	319	30381	493	55147.0
pandit_like_083188	247	319	30381	493	55147.0
pandit_like_085087	247	319	30381	493	55147.0
pandit_like_086925	247	319	30381	493	55147.0
pandit_like_090322	247	319	30381	493	55147.0
pandit_like_097290	247	319	30381	493	55147.0
pandit_like_100133	247	319	30381	493	55147.0
pandit_like_101119	247	319	30381	493	55147.0
pandit_like_105021	247	319	30381	493	55147.0
pandit_like_106252	247	319	30381	493	55147.0
pandit_like_110285	247	319	30381	493	55147.0
pandit_like_114562	247	319	30381	493	55147.0
pandit_like_117271	247	319	30381	493	55147.0
pandit_like_123160	247	319	30381	493	55147.0
pandit_like_130009	247	319	30381	493	55147.0
pandit_like_134573	247	319	30381	493	55147.0
pandit_like_134705	247	319	30381	493	55147.0
pandit_like_136753	247	319	30381	493	55147.0
pandit_like_136781	247	319	30381	493	55147.0
pandit_like_140672	247	319	30381	493	55147.0
pandit_like_144803	247	319	30381	493	55147.0
pandit_like_147580	247	319	30381	493	55147.0
pandit_like_151392	247	319	30381	493	55147.0
pandit_like_155691	247	319	30381	493	55147.0
pandit_like_160975	247	319	30381	493	55147.0
pandit_like_161884	247	319	30381	493	55147.0
pandit_like_169219	247	319	30381	493	55147.0
pandit_like_170893	247	319	30381	493	55147.0
pandit_like_173034	247	319	30381	493	55147.0
pandit_like_174353	247	319	30381	493	55147.0
pandit_like_175592	247	319	30381	493	55147.0
pandit_like_184266	247	319	30381	493	55147.0
pandit_like_184441	247	319	30381	493	55147.0
pandit_like_186932	247	319	30381	493	55147.0
pandit_like_193902	247	319	30381	493	55147.0
pandit_like_198746	247	319	30381	493	55147.0
pandit_like_002140	226	379	25425	451	47493.4
pandit_like_006283	226	379	25425	451	47493.4
pandit_like_007700	226	379	25425	451	47493.4
pandit_like_014106	226	379	25425	451	47493.4
pandit_like_019129	226	379	25425	451	47493.4
pandit_like_027845	226	379	25425	451	47493.4
pandit_like_046287	226	379	25425	451	47493.4
pandit_like_047032	226	379	25425	451	47493.4
pandit_like_047832	226	379	25425	451	47493.4
