model	count	fraction
LG+G4	100113	0.500770315829
LG+F+G4	25362	0.126862013426
WAG+G4	16187	0.0809681969608
JTT+G4	11027	0.055157614622
LG	8600	0.0430176372313
WAG	7988	0.0399563821167
WAG+F+G4	4843	0.0242249322222
JTT	4746	0.0237397332906
JTT+F+G4	3955	0.0197831110755
cpREV+G4	2362	0.0118148440861
rtREV+F+G4	2230	0.0111545733751
WAG+F	1681	0.00840844746346
rtREV+G4	1516	0.00758310907472
VT+G4	1399	0.00699786912634
JTT+F	1396	0.00698286297382
cpREV	1215	0.00607749177163
LG+F	1119	0.00559729489091
VT+F+G4	744	0.00372152582559
VT	732	0.0036615012155
mtART+G4	732	0.0036615012155
cpREV+F+G4	662	0.00331135765664
rtREV	432	0.00216088596324
VT+F	431	0.0021558839124
rtREV+F	226	0.00113046349003
cpREV+F	79	0.000395162016427
mtMAM+F+G4	61	0.000305125101292
mtART+F	40	0.000200082033634
mtART+F+G4	40	0.000200082033634
