split	taxa	n_msa	train_batch_size	val_batch_size
train	4	18768	4	8
train	5	17728	4	8
train	6	17073	4	8
train	7	14972	4	8
train	8	12068	4	8
train	9	11020	4	8
train	10	8766	4	8
train	11	9156	4	8
train	12	6992	4	8
train	13	6807	4	8
train	14	5841	4	8
train	15	4443	4	8
train	16	5013	4	8
train	17	3394	4	8
train	18	3270	4	8
train	19	2961	4	8
train	20	2835	4	8
train	21	2521	4	8
train	22	2391	4	8
train	23	2159	4	8
train	24	2433	4	8
train	25	2033	4	8
train	26	1431	4	8
train	27	1615	4	8
train	28	1433	4	8
train	29	798	4	8
train	30	1001	4	8
train	31	1223	4	8
train	32	1238	4	8
train	33	654	4	8
train	34	825	4	8
train	35	884	4	8
train	36	487	4	8
train	37	971	4	8
train	38	867	4	8
train	39	705	4	8
train	40	655	4	8
train	41	451	4	8
train	42	706	4	8
train	43	339	4	8
train	44	536	4	8
train	45	404	4	8
train	46	646	4	8
train	47	386	4	8
train	48	339	4	8
train	49	670	4	8
train	50	429	4	8
train	51	841	3	7
train	52	521	3	7
train	53	256	3	7
train	54	412	3	6
train	55	503	3	6
train	56	249	3	6
train	57	254	3	6
train	58	313	2	5
train	59	558	2	5
train	60	307	2	5
train	61	627	2	5
train	62	265	2	5
train	63	206	2	5
train	64	424	2	4
train	65	230	2	4
train	66	139	2	4
train	67	391	2	4
train	68	223	2	4
train	69	223	2	4
train	70	221	2	4
train	71	91	1	3
train	72	237	1	3
train	73	95	1	3
train	74	264	1	3
train	75	309	1	3
train	76	135	1	3
train	77	191	1	3
train	78	133	1	3
train	79	348	1	3
train	80	102	1	3
train	81	91	1	3
train	82	44	1	2
train	83	138	1	2
train	84	90	1	2
train	85	135	1	2
train	86	87	1	2
train	87	148	1	2
train	88	181	1	2
train	89	50	1	2
train	90	178	1	2
train	92	213	1	2
train	93	47	1	2
train	94	98	1	2
train	95	248	1	2
train	96	133	1	2
train	97	41	1	2
train	98	141	1	2
train	99	82	1	2
train	100	77	1	2
train	101	48	1	1
train	102	58	1	1
train	103	55	1	1
train	104	147	1	1
train	105	53	1	1
train	106	77	1	1
train	107	45	1	1
train	108	242	1	1
train	109	213	1	1
train	110	95	1	1
train	111	84	1	1
train	113	131	1	1
train	114	133	1	1
train	115	91	1	1
train	116	102	1	1
train	118	59	1	1
train	119	60	1	1
train	120	46	1	1
train	121	83	1	1
train	122	88	1	1
train	123	56	1	1
train	126	103	1	1
train	127	41	1	1
train	129	63	1	1
train	130	135	1	1
train	132	50	1	1
train	134	107	1	1
train	136	35	1	1
train	137	80	1	1
train	140	39	1	1
train	142	40	1	1
train	143	57	1	1
train	146	40	1	1
train	147	126	1	1
train	148	68	1	1
train	149	50	1	1
train	150	48	1	1
train	152	47	1	1
train	154	42	1	1
train	155	50	1	1
train	156	39	1	1
train	157	89	1	1
train	162	152	1	1
train	164	46	1	1
train	166	44	1	1
train	169	46	1	1
train	171	56	1	1
train	174	90	1	1
train	175	40	1	1
train	181	39	1	1
train	184	51	1	1
train	185	84	1	1
train	195	50	1	1
train	200	28	1	1
train	201	54	1	1
train	205	35	1	1
train	226	48	1	1
train	247	59	1	1
train	252	37	1	1
val	4	190	4	8
val	5	179	4	8
val	6	172	4	8
val	7	151	4	8
val	8	122	4	8
val	9	111	4	8
val	10	89	4	8
val	11	92	4	8
val	12	71	4	8
val	13	69	4	8
val	14	59	4	8
val	15	45	4	8
val	16	51	4	8
val	17	34	4	8
val	18	33	4	8
val	19	30	4	8
val	20	29	4	8
val	21	25	4	8
val	22	24	4	8
val	23	22	4	8
val	24	25	4	8
val	25	21	4	8
val	26	14	4	8
val	27	16	4	8
val	28	14	4	8
val	29	8	4	8
val	30	10	4	8
val	31	12	4	8
val	32	12	4	8
val	33	7	4	8
val	34	8	4	8
val	35	9	4	8
val	36	5	4	8
val	37	10	4	8
val	38	9	4	8
val	39	7	4	8
val	40	7	4	8
val	41	5	4	8
val	42	7	4	8
val	43	3	4	8
val	44	5	4	8
val	45	4	4	8
val	46	7	4	8
val	47	4	4	8
val	48	3	4	8
val	49	7	4	8
val	50	4	4	8
val	51	8	3	7
val	52	5	3	7
val	53	3	3	7
val	54	4	3	6
val	55	5	3	6
val	56	3	3	6
val	57	3	3	6
val	58	3	2	5
val	59	6	2	5
val	60	3	2	5
val	61	6	2	5
val	62	3	2	5
val	63	2	2	5
val	64	4	2	4
val	65	2	2	4
val	66	1	2	4
val	67	4	2	4
val	68	2	2	4
val	69	2	2	4
val	70	2	2	4
val	71	1	1	3
val	72	2	1	3
val	73	1	1	3
val	74	3	1	3
val	75	3	1	3
val	76	1	1	3
val	77	2	1	3
val	78	1	1	3
val	79	4	1	3
val	80	1	1	3
val	81	1	1	3
val	82	1	1	2
val	83	1	1	2
val	84	1	1	2
val	85	1	1	2
val	86	1	1	2
val	87	1	1	2
val	88	2	1	2
val	89	1	1	2
val	90	2	1	2
val	92	2	1	2
val	93	1	1	2
val	94	1	1	2
val	95	3	1	2
val	96	1	1	2
val	97	1	1	2
val	98	1	1	2
val	99	1	1	2
val	100	1	1	2
val	101	1	1	1
val	102	1	1	1
val	103	1	1	1
val	104	1	1	1
val	105	1	1	1
val	106	1	1	1
val	107	1	1	1
val	108	2	1	1
val	109	2	1	1
val	110	1	1	1
val	111	1	1	1
val	113	1	1	1
val	114	1	1	1
val	115	1	1	1
val	116	1	1	1
val	118	1	1	1
val	119	1	1	1
val	120	1	1	1
val	121	1	1	1
val	122	1	1	1
val	123	1	1	1
val	126	1	1	1
val	127	1	1	1
val	129	1	1	1
val	130	1	1	1
val	132	1	1	1
val	134	1	1	1
val	136	1	1	1
val	137	1	1	1
val	140	1	1	1
val	142	1	1	1
val	143	1	1	1
val	146	1	1	1
val	147	1	1	1
val	148	1	1	1
val	149	1	1	1
val	150	1	1	1
val	152	1	1	1
val	154	1	1	1
val	155	1	1	1
val	156	1	1	1
val	157	1	1	1
val	162	2	1	1
val	164	1	1	1
val	166	1	1	1
val	169	1	1	1
val	171	1	1	1
val	174	1	1	1
val	175	1	1	1
val	181	1	1	1
val	184	1	1	1
val	185	1	1	1
val	195	1	1	1
val	200	1	1	1
val	201	1	1	1
val	205	1	1	1
val	226	1	1	1
val	247	1	1	1
val	252	1	1	1
