split	taxa	msa_id	tree_path	msa_path	source_tree_path	source_msa_path
train	17	pandit_like_000000	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_17/trees/pandit_like_000000.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_17/msas/pandit_like_000000.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000000/tree/pandit_like_000000.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000000.fa
train	21	pandit_like_000001	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_21/trees/pandit_like_000001.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_21/msas/pandit_like_000001.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000001/tree/pandit_like_000001.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000001.fa
train	6	pandit_like_000002	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_6/trees/pandit_like_000002.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_6/msas/pandit_like_000002.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000002/tree/pandit_like_000002.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000002.fa
train	13	pandit_like_000003	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_13/trees/pandit_like_000003.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_13/msas/pandit_like_000003.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000003/tree/pandit_like_000003.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000003.fa
train	13	pandit_like_000006	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_13/trees/pandit_like_000006.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_13/msas/pandit_like_000006.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000006/tree/pandit_like_000006.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000006.fa
train	7	pandit_like_000007	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_7/trees/pandit_like_000007.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_7/msas/pandit_like_000007.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000007/tree/pandit_like_000007.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000007.fa
train	4	pandit_like_000008	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_4/trees/pandit_like_000008.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_4/msas/pandit_like_000008.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000008/tree/pandit_like_000008.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000008.fa
train	36	pandit_like_000009	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_36/trees/pandit_like_000009.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_36/msas/pandit_like_000009.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000009/tree/pandit_like_000009.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000009.fa
train	86	pandit_like_000010	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_86/trees/pandit_like_000010.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_86/msas/pandit_like_000010.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000010/tree/pandit_like_000010.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000010.fa
train	4	pandit_like_000012	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_4/trees/pandit_like_000012.nwk	runs/pandit_domain_adaptation/stage7_pf2_adapt_realism_v3_raw_20k_data_max170/train_4/msas/pandit_like_000012.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000012/tree/pandit_like_000012.nwk	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000012.fa
