split	taxa	n_msa
train	4	1729
train	5	1656
train	6	1499
train	7	1403
train	8	1104
train	9	975
train	10	802
train	11	848
train	12	647
train	13	601
train	14	551
train	15	402
train	16	454
train	17	282
train	18	291
train	19	265
train	20	257
train	21	200
train	22	221
train	23	185
train	24	209
train	25	212
train	26	141
train	27	135
train	28	146
train	29	79
train	30	70
train	31	106
train	32	90
train	33	76
train	34	76
train	35	82
train	36	41
train	37	92
train	38	97
train	39	68
train	40	44
train	41	42
train	42	67
train	43	32
train	44	47
train	45	41
train	46	61
train	47	30
train	48	25
train	49	59
train	50	35
train	51	84
train	52	55
train	53	15
train	54	35
train	55	38
train	56	22
train	57	25
train	58	21
train	59	62
train	60	28
train	61	47
train	62	28
train	63	23
train	64	40
train	65	17
train	66	17
train	67	37
train	68	20
train	69	21
train	70	20
train	71	11
train	72	19
train	73	12
train	74	21
train	75	35
train	76	11
train	77	20
train	78	11
train	79	19
train	80	9
train	81	8
train	82	1
train	83	11
train	84	11
train	85	16
train	86	13
train	87	14
train	88	14
train	89	6
train	90	16
train	92	19
train	93	3
train	94	10
train	95	24
train	96	16
train	97	4
train	98	10
train	99	8
train	100	11
train	101	3
train	102	1
train	103	3
train	104	13
train	105	1
train	106	12
train	107	3
train	108	20
train	109	17
train	110	11
train	111	11
train	113	15
train	114	6
train	115	10
train	116	9
train	118	2
train	119	4
train	120	4
train	121	17
train	122	8
train	123	5
train	126	11
train	127	4
train	129	5
train	130	13
train	132	4
train	134	2
train	136	1
train	137	9
train	140	5
train	142	4
train	143	3
train	146	5
train	147	11
train	148	14
train	149	3
train	152	3
train	154	5
train	155	4
train	156	2
train	157	8
train	162	8
train	164	1
train	166	4
train	169	4
val	4	192
val	5	184
val	6	166
val	7	156
val	8	123
val	9	108
val	10	89
val	11	94
val	12	72
val	13	67
val	14	61
val	15	45
val	16	50
val	17	31
val	18	32
val	19	29
val	20	28
val	21	22
val	22	25
val	23	21
val	24	23
val	25	24
val	26	16
val	27	15
val	28	16
val	29	9
val	30	8
val	31	12
val	32	10
val	33	8
val	34	8
val	35	9
val	36	4
val	37	10
val	38	11
val	39	8
val	40	5
val	41	5
val	42	8
val	43	4
val	44	5
val	45	5
val	46	7
val	47	3
val	48	3
val	49	6
val	50	4
val	51	9
val	52	6
val	53	2
val	54	4
val	55	4
val	56	2
val	57	3
val	58	2
val	59	7
val	60	3
val	61	5
val	62	3
val	63	3
val	64	4
val	65	2
val	66	2
val	67	4
val	68	2
val	69	2
val	70	2
val	71	1
val	72	2
val	73	1
val	74	2
val	75	4
val	76	1
val	77	2
val	78	1
val	79	2
val	80	1
val	81	1
val	83	1
val	84	1
val	85	2
val	86	1
val	87	2
val	88	2
val	89	1
val	90	2
val	92	2
val	93	1
val	94	1
val	95	3
val	96	2
val	97	1
val	98	1
val	99	1
val	100	1
val	101	1
val	102	1
val	103	1
val	104	1
val	105	1
val	106	1
val	107	1
val	108	2
val	109	2
val	110	1
val	111	1
val	113	2
val	114	1
val	115	1
val	116	1
val	118	1
val	119	1
val	120	1
val	121	2
val	122	1
val	123	1
val	126	1
val	127	1
val	129	1
val	130	1
val	132	1
val	134	1
val	136	1
val	137	1
val	140	1
val	142	1
val	143	1
val	146	1
val	147	1
val	148	2
val	149	1
val	152	1
val	154	1
val	155	1
val	156	1
val	157	1
val	162	1
val	166	1
val	169	1
