id,dataset,method,nRF,wRF,KF
rep_017,30k,window-site+weighted,0.0555555555555555,0.0582235779299999,0.0112756294009019
rep_014,30k,window-site+weighted,0.0277777777777777,0.0714507732999999,0.0129527043775929
rep_005,30k,window-site+weighted,0.0138888888888888,0.2364291594,0.0463416134872016
rep_007,30k,window-site+weighted,0.0,0.1014289314,0.0203447920566325
rep_011,30k,window-site+weighted,0.0138888888888888,0.4905518685999998,0.0924827616404153
rep_028,30k,window-site+weighted,0.0425531914893617,0.0494741504,0.0132141875989712
rep_022,30k,window-site+weighted,0.0,0.1336098859,0.0294673810970682
rep_013,30k,window-site+weighted,0.0212765957446808,0.1540155497999999,0.039283663581852
rep_001,30k,window-site+weighted,0.0,0.1853333068,0.0504000792136789
rep_021,30k,window-site+weighted,0.0103092783505154,0.1328103149999999,0.0218330500956781
rep_000,30k,window-site+weighted,0.0206185567010309,0.2196334879,0.035878873547459
rep_027,30k,window-site+weighted,0.0206185567010309,0.1544749461,0.0250125829088321
rep_018,30k,window-site+weighted,0.0515463917525773,0.0859895474,0.0133290032372646
rep_016,30k,window-site+weighted,0.0212765957446808,0.550091306499999,0.1129551663127245
rep_009,30k,window-site+weighted,0.0103092783505154,0.2310687797,0.0390476431345217
rep_004,30k,window-site+weighted,0.0,0.4866070161999994,0.1230318319001415
rep_020,30k,window-site+weighted,0.0,0.1549652447999999,0.0296957921562275
rep_023,30k,window-site+weighted,0.0,0.1097733977,0.0218268767592473
rep_025,30k,window-site+weighted,0.0212765957446808,0.2237011960999999,0.050128985339547
rep_019,30k,window-site+weighted,0.0,0.0355969928,0.0107714024991934
rep_006,30k,window-site+weighted,0.2474226804123711,0.0102471737895,0.0013496999732097
rep_008,30k,window-site+weighted,0.0,0.050857077,0.0107006593681976
rep_003,30k,window-site+weighted,0.0927835051546391,9.132308025899995,3.1978643754678693
rep_012,30k,window-site+weighted,0.0,0.3461037401,0.0610940475744115
rep_029,30k,window-site+weighted,0.0138888888888888,0.1874031502,0.0370607632297452
rep_026,30k,window-site+weighted,0.0,0.1836801429999999,0.0482680402213199
rep_002,30k,window-site+weighted,0.0138888888888888,0.0409489270799999,0.0074231214102603
rep_010,30k,window-site+weighted,0.0,0.0650041563999999,0.0133692157478989
rep_024,30k,window-site+weighted,0.0,0.11594296995,0.0172712233712296
rep_015,30k,window-site+weighted,0.0,0.2228176644999998,0.0375849147408054
rep_013,30k,window-site+fastrfs,0.0212765957446808,0.1540155497999999,0.039283663581852
rep_019,30k,window-site+fastrfs,0.0,0.0355969928,0.0107714024991934
rep_014,30k,window-site+fastrfs,0.0277777777777777,0.0714507733,0.0129527043775929
rep_017,30k,window-site+fastrfs,0.0555555555555555,0.0582235779299999,0.0112756294009019
rep_007,30k,window-site+fastrfs,0.0,0.1014289314,0.0203447920566325
rep_028,30k,window-site+fastrfs,0.0425531914893617,0.0494741504,0.0132141875989712
rep_012,30k,window-site+fastrfs,0.0,0.3462582146999998,0.0611205124476024
rep_000,30k,window-site+fastrfs,0.0206185567010309,0.2196334879,0.035878873547459
rep_016,30k,window-site+fastrfs,0.0212765957446808,0.550091306499999,0.1129551663127245
rep_021,30k,window-site+fastrfs,0.0103092783505154,0.1331523817,0.0218899062327379
rep_002,30k,window-site+fastrfs,0.0138888888888888,0.0409489270799999,0.0074231214102603
rep_011,30k,window-site+fastrfs,0.0138888888888888,0.4905518685999997,0.0924827616404153
rep_020,30k,window-site+fastrfs,0.0,0.1551263951000001,0.0297239610277161
rep_018,30k,window-site+fastrfs,0.0515463917525773,0.0859895474,0.0133290032372646
rep_015,30k,window-site+fastrfs,0.0,0.2228176644999998,0.0375849147408054
rep_023,30k,window-site+fastrfs,0.0,0.1097733977,0.0218268767592473
rep_027,30k,window-site+fastrfs,0.0206185567010309,0.1544749460999999,0.0250125829088321
rep_008,30k,window-site+fastrfs,0.0,0.050857077,0.0107006593681976
