id,dataset,method,metric,value
2505_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
1609_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
1966_100_tips_250,Cherry,PF2_direct,nRF,0.3195876288659793
2885_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
2924_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
3038_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
2344_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
594_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
4751_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
2584_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
5999_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
737_80_tips_250,Cherry,PF2_direct,nRF,0.0
533_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
2572_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
211_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
2777_90_tips_250,Cherry,PF2_direct,nRF,0.2183908045977011
4036_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
5737_90_tips_250,Cherry,PF2_direct,nRF,0.1954022988505747
1995_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
5635_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
1409_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
2560_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
1509_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
1786_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
5280_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
2409_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
2504_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
4214_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
3231_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
1566_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
3202_100_tips_250,Cherry,PF2_direct,nRF,0.0927835051546391
3048_100_tips_250,Cherry,PF2_direct,nRF,0.2268041237113402
3324_90_tips_250,Cherry,PF2_direct,nRF,0.0229885057471264
2142_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
2429_90_tips_250,Cherry,PF2_direct,nRF,0.1724137931034483
742_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
1361_100_tips_250,Cherry,PF2_direct,nRF,0.0309278350515463
3625_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
5087_100_tips_250,Cherry,PF2_direct,nRF,0.3505154639175257
1149_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
5464_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
4514_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
3472_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
4614_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
4714_100_tips_250,Cherry,PF2_direct,nRF,0.1443298969072164
890_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
4446_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
4816_90_tips_250,Cherry,PF2_direct,nRF,0.2183908045977011
4426_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
1852_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
3813_100_tips_250,Cherry,PF2_direct,nRF,0.0618556701030927
3804_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
3456_90_tips_250,Cherry,PF2_direct,nRF,0.0804597701149425
5478_90_tips_250,Cherry,PF2_direct,nRF,0.1379310344827586
2107_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
5934_100_tips_250,Cherry,PF2_direct,nRF,0.1958762886597938
2778_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
5747_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
196_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
3130_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
4402_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
2937_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
1664_80_tips_250,Cherry,PF2_direct,nRF,0.2337662337662337
2378_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
4337_90_tips_250,Cherry,PF2_direct,nRF,0.1724137931034483
4970_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
4666_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
4073_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
1976_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
4935_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
2723_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
4523_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
2585_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
3414_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
1493_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
4448_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
4464_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
2554_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
4532_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
2136_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
1529_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
2195_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
640_100_tips_250,Cherry,PF2_direct,nRF,0.268041237113402
2476_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
1857_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
1847_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
4393_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
1091_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
353_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
905_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
4513_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
186_80_tips_250,Cherry,PF2_direct,nRF,0.1818181818181818
3887_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
2323_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
4167_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
2498_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
1463_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
4015_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
4040_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
4634_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
1931_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
1941_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
1189_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
2849_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
5302_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
153_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
2657_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
2440_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
3056_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
627_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
1988_100_tips_250,Cherry,PF2_direct,nRF,0.2783505154639175
5604_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
721_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
95_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
2301_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
3355_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
1568_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
