id,dataset,method,nRF,wRF,KF
2505_80_tips_250,Cherry,PF2_direct,0.1038961038961039,1.5041444987339334,0.2310414832242317
1609_100_tips_250,Cherry,PF2_direct,0.1134020618556701,3.312383931391277,0.8249549897966767
1966_100_tips_250,Cherry,PF2_direct,0.3195876288659793,7.774002427845248,1.1474611677101534
2885_100_tips_250,Cherry,PF2_direct,0.1649484536082474,7.725796639718398,1.6902765039375116
2924_80_tips_250,Cherry,PF2_direct,0.0259740259740259,3.125927568636768,0.6392508466851957
3038_80_tips_250,Cherry,PF2_direct,0.0519480519480519,7.847688589400358,2.026705138115663
2344_80_tips_250,Cherry,PF2_direct,0.0649350649350649,3.0595282860675583,0.5330273629053188
594_100_tips_250,Cherry,PF2_direct,0.1030927835051546,3.906404519513138,0.6640526516694553
4751_100_tips_250,Cherry,PF2_direct,0.1649484536082474,10.584073122221206,1.8660880392788644
2584_90_tips_250,Cherry,PF2_direct,0.0689655172413793,5.920914908128442,1.161667103359673
5999_80_tips_250,Cherry,PF2_direct,0.0259740259740259,4.0039688417762616,0.7777396712250499
737_80_tips_250,Cherry,PF2_direct,0.0,1.8140959251583104,0.2961170700927407
533_80_tips_250,Cherry,PF2_direct,0.0519480519480519,2.0738170155230904,0.3781653664950989
2572_80_tips_250,Cherry,PF2_direct,0.1428571428571428,4.471335898262807,0.8496909627861868
211_90_tips_250,Cherry,PF2_direct,0.0919540229885057,3.285767648878586,0.5441828226179567
2777_90_tips_250,Cherry,PF2_direct,0.2183908045977011,4.851002301175479,0.9349509069673508
4036_90_tips_250,Cherry,PF2_direct,0.0344827586206896,11.523837710562258,1.9645976388281516
5737_90_tips_250,Cherry,PF2_direct,0.1954022988505747,27.0899276493647,4.4360245930074536
1995_100_tips_250,Cherry,PF2_direct,0.1134020618556701,5.171600208962879,0.839285814990797
5635_80_tips_250,Cherry,PF2_direct,0.0389610389610389,3.758669591232521,0.9525457098883106
1409_80_tips_250,Cherry,PF2_direct,0.1038961038961039,2.4193474935098567,0.468588509898045
2560_80_tips_250,Cherry,PF2_direct,0.0519480519480519,27.4811470698207,6.376402277691516
1509_100_tips_250,Cherry,PF2_direct,0.1030927835051546,26.45076360730299,5.600207325188313
1786_100_tips_250,Cherry,PF2_direct,0.0824742268041237,7.026570283482783,1.397531975464244
5280_90_tips_250,Cherry,PF2_direct,0.1264367816091954,12.847134559045992,3.1754445612659983
2409_90_tips_250,Cherry,PF2_direct,0.057471264367816,14.26831866394706,2.1407515833955464
2504_90_tips_250,Cherry,PF2_direct,0.0919540229885057,5.53520204642408,1.2205817620983346
4214_100_tips_250,Cherry,PF2_direct,0.1546391752577319,5.2973511899192935,0.9895583192885704
3231_90_tips_250,Cherry,PF2_direct,0.057471264367816,3.5697459008345587,0.6908628531201415
1566_100_tips_250,Cherry,PF2_direct,0.0927835051546391,6.263769824531985,1.1700079309649798
3202_100_tips_250,Cherry,PF2_direct,0.0927835051546391,2.6278653537471786,0.3924251945032666
3048_100_tips_250,Cherry,PF2_direct,0.2268041237113402,8.183124025127478,1.5051472377472772
3324_90_tips_250,Cherry,PF2_direct,0.0229885057471264,5.466286818700675,1.2684314378764228
2142_100_tips_250,Cherry,PF2_direct,0.1134020618556701,8.01516883503053,2.1638257889838663
2429_90_tips_250,Cherry,PF2_direct,0.1724137931034483,9.20925425226594,1.509474160655886
742_80_tips_250,Cherry,PF2_direct,0.0909090909090909,7.427011778269055,1.4952448510997347
1361_100_tips_250,Cherry,PF2_direct,0.0309278350515463,3.899549306789537,0.6492389071970622
3625_80_tips_250,Cherry,PF2_direct,0.0779220779220779,1.4878417684681406,0.2652921971279788
5087_100_tips_250,Cherry,PF2_direct,0.3505154639175257,23.754053210501027,4.352216156163694
1149_90_tips_250,Cherry,PF2_direct,0.1264367816091954,23.671892904994003,4.490849802826561
5464_100_tips_250,Cherry,PF2_direct,0.1134020618556701,18.964600713946776,5.043969464733537
4514_80_tips_250,Cherry,PF2_direct,0.0909090909090909,13.986751427089851,3.376155918117376
3472_100_tips_250,Cherry,PF2_direct,0.1546391752577319,6.044703040171141,0.9674549512898408
4614_80_tips_250,Cherry,PF2_direct,0.1298701298701298,5.339552852100745,1.5942864430902737
4714_100_tips_250,Cherry,PF2_direct,0.1443298969072164,9.859814637888308,1.5825272118563232
890_90_tips_250,Cherry,PF2_direct,0.1149425287356321,2.673510985382735,0.4096162034352025
4446_80_tips_250,Cherry,PF2_direct,0.0389610389610389,2.052605215597223,0.4248841099892458
4816_90_tips_250,Cherry,PF2_direct,0.2183908045977011,16.824754080977407,3.481764991784873
4426_90_tips_250,Cherry,PF2_direct,0.0689655172413793,5.299557429869673,1.4064246215794352
1852_100_tips_250,Cherry,PF2_direct,0.0721649484536082,16.874402970704235,3.3163485953329563
3813_100_tips_250,Cherry,PF2_direct,0.0618556701030927,2.569242071216132,0.4493754316936316
3804_90_tips_250,Cherry,PF2_direct,0.0804597701149425,5.800715518095356,1.2292258735805288
3456_90_tips_250,Cherry,PF2_direct,0.0804597701149425,4.901938774553381,0.8120056842577866
5478_90_tips_250,Cherry,PF2_direct,0.1379310344827586,11.500542300414113,1.9747742878002823
2107_100_tips_250,Cherry,PF2_direct,0.1649484536082474,12.108596559059736,2.262680595100172
5934_100_tips_250,Cherry,PF2_direct,0.1958762886597938,20.08895278683688,5.072465454754032
2778_100_tips_250,Cherry,PF2_direct,0.1237113402061855,28.03285609197753,7.013087970648632
5747_90_tips_250,Cherry,PF2_direct,0.0919540229885057,12.677930388347832,3.458545102422732
196_90_tips_250,Cherry,PF2_direct,0.0919540229885057,11.315560815715282,2.049450213663087
3130_90_tips_250,Cherry,PF2_direct,0.0344827586206896,7.01679626625161,2.043333277039424
4402_80_tips_250,Cherry,PF2_direct,0.0909090909090909,9.11916920713718,1.620838893844531
2937_80_tips_250,Cherry,PF2_direct,0.1168831168831168,3.148193998544912,0.6627731217611622
1664_80_tips_250,Cherry,PF2_direct,0.2337662337662337,6.350819053693328,1.3179978731031516
2378_100_tips_250,Cherry,PF2_direct,0.1134020618556701,8.24717287647959,1.446250061686368
4337_90_tips_250,Cherry,PF2_direct,0.1724137931034483,4.599089251830377,0.8084557594348928
4970_80_tips_250,Cherry,PF2_direct,0.0389610389610389,7.9417044376891965,1.4323141857759976
4666_100_tips_250,Cherry,PF2_direct,0.0721649484536082,12.813355992169033,2.430181413519368
4073_80_tips_250,Cherry,PF2_direct,0.0779220779220779,5.940315095082292,1.1304221020785985
1976_100_tips_250,Cherry,PF2_direct,0.1546391752577319,13.104524014670968,2.466856372752438
4935_100_tips_250,Cherry,PF2_direct,0.2164948453608247,29.62974191795824,4.9763145786694825
2723_100_tips_250,Cherry,PF2_direct,0.1855670103092783,23.495466368112066,3.887372140704216
4523_100_tips_250,Cherry,PF2_direct,0.0824742268041237,11.295219193668377,1.976979425785104
