id,dataset,method,metric,value
rep_017,30k,window-site+weighted,nRF,0.0555555555555555
rep_014,30k,window-site+weighted,nRF,0.0277777777777777
rep_005,30k,window-site+weighted,nRF,0.0138888888888888
rep_007,30k,window-site+weighted,nRF,0.0
rep_011,30k,window-site+weighted,nRF,0.0138888888888888
rep_028,30k,window-site+weighted,nRF,0.0425531914893617
rep_022,30k,window-site+weighted,nRF,0.0
rep_013,30k,window-site+weighted,nRF,0.0212765957446808
rep_001,30k,window-site+weighted,nRF,0.0
rep_021,30k,window-site+weighted,nRF,0.0103092783505154
rep_000,30k,window-site+weighted,nRF,0.0206185567010309
rep_027,30k,window-site+weighted,nRF,0.0206185567010309
rep_018,30k,window-site+weighted,nRF,0.0515463917525773
rep_016,30k,window-site+weighted,nRF,0.0212765957446808
rep_009,30k,window-site+weighted,nRF,0.0103092783505154
rep_004,30k,window-site+weighted,nRF,0.0
rep_020,30k,window-site+weighted,nRF,0.0
rep_023,30k,window-site+weighted,nRF,0.0
rep_025,30k,window-site+weighted,nRF,0.0212765957446808
rep_019,30k,window-site+weighted,nRF,0.0
rep_006,30k,window-site+weighted,nRF,0.2474226804123711
rep_008,30k,window-site+weighted,nRF,0.0
rep_003,30k,window-site+weighted,nRF,0.0927835051546391
rep_012,30k,window-site+weighted,nRF,0.0
rep_029,30k,window-site+weighted,nRF,0.0138888888888888
rep_026,30k,window-site+weighted,nRF,0.0
rep_002,30k,window-site+weighted,nRF,0.0138888888888888
rep_010,30k,window-site+weighted,nRF,0.0
rep_024,30k,window-site+weighted,nRF,0.0
rep_015,30k,window-site+weighted,nRF,0.0
rep_013,30k,window-site+fastrfs,nRF,0.0212765957446808
rep_019,30k,window-site+fastrfs,nRF,0.0
rep_014,30k,window-site+fastrfs,nRF,0.0277777777777777
rep_017,30k,window-site+fastrfs,nRF,0.0555555555555555
rep_007,30k,window-site+fastrfs,nRF,0.0
rep_028,30k,window-site+fastrfs,nRF,0.0425531914893617
rep_012,30k,window-site+fastrfs,nRF,0.0
rep_000,30k,window-site+fastrfs,nRF,0.0206185567010309
rep_016,30k,window-site+fastrfs,nRF,0.0212765957446808
rep_021,30k,window-site+fastrfs,nRF,0.0103092783505154
rep_002,30k,window-site+fastrfs,nRF,0.0138888888888888
rep_011,30k,window-site+fastrfs,nRF,0.0138888888888888
rep_020,30k,window-site+fastrfs,nRF,0.0
rep_018,30k,window-site+fastrfs,nRF,0.0515463917525773
rep_015,30k,window-site+fastrfs,nRF,0.0
rep_023,30k,window-site+fastrfs,nRF,0.0
rep_027,30k,window-site+fastrfs,nRF,0.0206185567010309
rep_008,30k,window-site+fastrfs,nRF,0.0
rep_005,30k,window-site+fastrfs,nRF,0.0138888888888888
rep_022,30k,window-site+fastrfs,nRF,0.0
rep_026,30k,window-site+fastrfs,nRF,0.0
rep_001,30k,window-site+fastrfs,nRF,0.0
rep_010,30k,window-site+fastrfs,nRF,0.0
rep_006,30k,window-site+fastrfs,nRF,0.2474226804123711
rep_003,30k,window-site+fastrfs,nRF,0.0927835051546391
