id,dataset,method,nRF,wRF,KF
rep_013,60k,window-site+weighted,0.0212765957446808,0.1054090608000001,0.024261523763836
rep_019,60k,window-site+weighted,0.0,0.0293275606,0.0062706682370672
rep_017,60k,window-site+weighted,0.0416666666666666,0.0443114835299999,0.0094986260457435
rep_014,60k,window-site+weighted,0.0138888888888888,0.0476726203,0.0089902237131041
rep_007,60k,window-site+weighted,0.0,0.0714482966,0.0137888108442007
rep_028,60k,window-site+weighted,0.0425531914893617,0.0397297982999999,0.0094873041738749
rep_012,60k,window-site+weighted,0.0,0.2592685432000002,0.0486051095097767
rep_016,60k,window-site+weighted,0.0,0.5476825671999996,0.1360228931266917
rep_000,60k,window-site+weighted,0.0206185567010309,0.3741569679999998,0.0772778447581102
rep_021,60k,window-site+weighted,0.0103092783505154,0.0996254732,0.0172044987140283
rep_002,60k,window-site+weighted,0.0,0.0350371235799999,0.007651968399053
rep_020,60k,window-site+weighted,0.0,0.1985802630999998,0.0354291684504287
rep_011,60k,window-site+weighted,0.0277777777777777,0.6796367893,0.1625329875078972
rep_008,60k,window-site+weighted,0.0,0.0367728087,0.0075212673117691
rep_018,60k,window-site+weighted,0.0309278350515463,0.0710984563999999,0.0107011397334743
rep_015,60k,window-site+weighted,0.0,0.2333899050999999,0.0375628486842077
rep_026,60k,window-site+weighted,0.0,0.3082267411000002,0.0760876945069206
rep_027,60k,window-site+weighted,0.0206185567010309,0.1202686335999999,0.0197169587398331
rep_010,60k,window-site+weighted,0.0,0.0433282365,0.0097076289925609
rep_023,60k,window-site+weighted,0.0,0.0645154586999999,0.0109169051310124
rep_005,60k,window-site+weighted,0.0138888888888888,0.1375239768000001,0.0281588387651374
rep_022,60k,window-site+weighted,0.0,0.0713892065,0.0144282723029897
rep_001,60k,window-site+weighted,0.0,0.1510445923,0.0389358691302978
rep_006,60k,window-site+weighted,0.28125,0.0129880971134999,0.0018564536109979
rep_003,60k,window-site+weighted,0.0103092783505154,0.3795892126999998,0.0965924822135651
rep_024,60k,window-site+weighted,0.0103092783505154,0.1878168345499999,0.0355823949388449
rep_004,60k,window-site+weighted,0.0,0.4224421516999999,0.1223967588233809
rep_025,60k,window-site+weighted,0.0212765957446808,0.1689378107,0.041242368294047
rep_029,60k,window-site+weighted,0.0277777777777777,0.1642377201000001,0.0289390034455504
rep_009,60k,window-site+weighted,0.0103092783505154,0.1464575787000001,0.0247382929143451
rep_019,60k,window-site+fastrfs,0.0,0.0293275606,0.0062706682370672
rep_017,60k,window-site+fastrfs,0.0416666666666666,0.0443114835299999,0.0094986260457435
rep_011,60k,window-site+fastrfs,0.0277777777777777,0.6796367893000002,0.1625329875078972
rep_014,60k,window-site+fastrfs,0.0138888888888888,0.0476726203,0.0089902237131041
rep_007,60k,window-site+fastrfs,0.0,0.0714482966,0.0137888108442007
rep_028,60k,window-site+fastrfs,0.0425531914893617,0.0397297982999999,0.0094873041738749
rep_013,60k,window-site+fastrfs,0.0212765957446808,0.1054090608000001,0.024261523763836
rep_012,60k,window-site+fastrfs,0.0,0.2592685432000002,0.0486051095097767
rep_027,60k,window-site+fastrfs,0.0206185567010309,0.1202686335999999,0.0197169587398331
rep_021,60k,window-site+fastrfs,0.0103092783505154,0.0996254732,0.0172044987140283
rep_002,60k,window-site+fastrfs,0.0,0.03503712358,0.007651968399053
rep_000,60k,window-site+fastrfs,0.0206185567010309,0.3741056662999999,0.0772772328161544
rep_006,60k,window-site+fastrfs,0.28125,0.0129880971134999,0.0018564536109979
rep_016,60k,window-site+fastrfs,0.0,0.5476825671999996,0.1360228931266916
rep_029,60k,window-site+fastrfs,0.0277777777777777,0.164232619,0.0289387533145264
rep_015,60k,window-site+fastrfs,0.0,0.2333899051,0.0375628486842077
rep_020,60k,window-site+fastrfs,0.0,0.1984440344999998,0.0354038169359795
rep_018,60k,window-site+fastrfs,0.0309278350515463,0.0711123317999999,0.0107037092179489
rep_005,60k,window-site+fastrfs,0.0138888888888888,0.1375239768000001,0.0281588387651374
rep_010,60k,window-site+fastrfs,0.0,0.0433282365,0.0097076289925609
rep_008,60k,window-site+fastrfs,0.0,0.0367723115,0.007521133072799
rep_022,60k,window-site+fastrfs,0.0,0.0713892065,0.0144282723029897
rep_001,60k,window-site+fastrfs,0.0,0.1510445923,0.0389358691302978
rep_023,60k,window-site+fastrfs,0.0,0.0645154586999999,0.0109169051310124
rep_026,60k,window-site+fastrfs,0.0,0.3082267411000001,0.0760876945069206
rep_004,60k,window-site+fastrfs,0.0,0.4224421517,0.1223967588233809
rep_025,60k,window-site+fastrfs,0.0212765957446808,0.1689378106999999,0.041242368294047
rep_024,60k,window-site+fastrfs,0.0103092783505154,0.1877692917499999,0.0355758777550514
rep_009,60k,window-site+fastrfs,0.0103092783505154,0.1464575787000001,0.0247382929143451
rep_003,60k,window-site+fastrfs,0.0103092783505154,0.3795892126999999,0.0965924822135651
rep_013,60k,window-rate+weighted,0.0,0.0875154019999999,0.0217959235076194
rep_019,60k,window-rate+weighted,0.0,0.0293275606,0.0062706682370672
rep_017,60k,window-rate+weighted,0.0555555555555555,0.04646942533,0.0097114138686491
rep_014,60k,window-rate+weighted,0.0138888888888888,0.0476726203,0.0089902237131041
rep_007,60k,window-rate+weighted,0.0,0.0714482966,0.0137888108442007
rep_028,60k,window-rate+weighted,0.0851063829787234,0.1522004669,0.0710184677467815
rep_016,60k,window-rate+weighted,0.0,0.5476825671999996,0.1360228931266916
rep_021,60k,window-rate+weighted,0.0103092783505154,0.0996254732,0.0172044987140283
rep_012,60k,window-rate+weighted,0.0,0.2592685432000001,0.0486051095097767
rep_000,60k,window-rate+weighted,0.0206185567010309,0.3741569679999997,0.0772778447581102
rep_020,60k,window-rate+weighted,0.0,0.1985228113999999,0.035417706761703
rep_008,60k,window-rate+weighted,0.0769230769230769,0.242978941,0.0738781767528601
rep_002,60k,window-rate+weighted,0.0138888888888888,0.0362327092799999,0.0078166852289579
rep_011,60k,window-rate+weighted,0.0138888888888888,0.5190495935999998,0.1178623197062318
rep_018,60k,window-rate+weighted,0.0309278350515463,0.0695506312999999,0.0106925441789153
rep_026,60k,window-rate+weighted,0.0,0.3082267411000002,0.0760876945069206
rep_010,60k,window-rate+weighted,0.0,0.0433282365,0.0097076289925609
rep_023,60k,window-rate+weighted,0.0138888888888888,0.1703252333,0.0682103377175769
rep_015,60k,window-rate+weighted,0.0,0.2333899050999999,0.0375628486842077
rep_027,60k,window-rate+weighted,0.0103092783505154,0.1118440001999999,0.0182447109813598
rep_003,60k,window-rate+weighted,0.0,0.3544230781,0.0944809204392064
rep_024,60k,window-rate+weighted,0.0103092783505154,0.1785972454499999,0.0345552618592469
rep_005,60k,window-rate+weighted,0.0138888888888888,0.1375239768000001,0.0281588387651374
rep_001,60k,window-rate+weighted,0.0212765957446808,0.2815460871000002,0.0957904425549646
rep_004,60k,window-rate+weighted,0.0,0.4224421517000001,0.1223967588233809
rep_025,60k,window-rate+weighted,0.0,0.1289070644,0.02653651616424
rep_022,60k,window-rate+weighted,0.0212765957446808,0.0743366871999999,0.0146919350975705
rep_029,60k,window-rate+weighted,0.0,0.1254512609999999,0.0234403958279069
rep_006,60k,window-rate+weighted,0.2577319587628865,0.0216188881665,0.0041027784542719
rep_009,60k,window-rate+weighted,0.0103092783505154,0.1464575787,0.0247382929143451
rep_019,60k,window-rate+fastrfs,0.0,0.0293275606,0.0062706682370672
rep_013,60k,window-rate+fastrfs,0.0,0.0875154019999999,0.0217959235076194
rep_017,60k,window-rate+fastrfs,0.0555555555555555,0.04646942533,0.0097114138686491
rep_014,60k,window-rate+fastrfs,0.0138888888888888,0.0476726203,0.0089902237131041
rep_007,60k,window-rate+fastrfs,0.0,0.0714482966,0.0137888108442007
rep_028,60k,window-rate+fastrfs,0.0851063829787234,0.1522004668999999,0.0710184677467815
rep_016,60k,window-rate+fastrfs,0.0,0.5476825671999996,0.1360228931266916
rep_021,60k,window-rate+fastrfs,0.0103092783505154,0.0996254732,0.0172044987140283
rep_012,60k,window-rate+fastrfs,0.0,0.2592685432000001,0.0486051095097767
rep_000,60k,window-rate+fastrfs,0.0206185567010309,0.3741569679999996,0.0772778447581102
rep_020,60k,window-rate+fastrfs,0.0,0.1985228113999998,0.035417706761703
rep_002,60k,window-rate+fastrfs,0.0138888888888888,0.0362327092799999,0.0078166852289579
rep_008,60k,window-rate+fastrfs,0.0769230769230769,0.242978941,0.0738781767528601
rep_011,60k,window-rate+fastrfs,0.0138888888888888,0.5190495935999999,0.1178623197062319
rep_018,60k,window-rate+fastrfs,0.0309278350515463,0.0695506312999999,0.0106925441789153
rep_026,60k,window-rate+fastrfs,0.0,0.3082267411000002,0.0760876945069206
rep_023,60k,window-rate+fastrfs,0.0138888888888888,0.1703252333,0.0682103377175768
rep_010,60k,window-rate+fastrfs,0.0,0.0433282365,0.0097076289925609
rep_015,60k,window-rate+fastrfs,0.0,0.2333899050999999,0.0375628486842077
rep_027,60k,window-rate+fastrfs,0.0103092783505154,0.1118440002,0.0182447109813598
rep_005,60k,window-rate+fastrfs,0.0138888888888888,0.1375239768000001,0.0281588387651374
rep_003,60k,window-rate+fastrfs,0.0,0.3544230780000001,0.0944809204374726
rep_022,60k,window-rate+fastrfs,0.0212765957446808,0.0743366871999999,0.0146919350975705
rep_004,60k,window-rate+fastrfs,0.0,0.4224421517,0.1223967588233809
