msa_id	split	relative_path	num_sequences	alignment_length	gap_bucket	gap_ratio	gappy_column_ratio_any	gappy_column_ratio_25	gappy_column_ratio_50	gap_run_count	mean_gap_run_length	median_gap_run_length	p90_gap_run_length	gap_bucket_q_low	gap_bucket_q_high
0	train	data_pandit/aa/0/data.0	64	433	high-gap	0.380484988453	0.540415704388	0.448036951501	0.408775981524	529	19.9319470699	6	100	0.0592369477912	0.143665158371
1	train	data_pandit/aa/1/data.1	33	376	high-gap	0.302707930368	0.412234042553	0.369680851064	0.337765957447	508	7.3937007874	4	24	0.0592369477912	0.143665158371
4	train	data_pandit/aa/4/data.4	65	333	high-gap	0.440887040887	0.660660660661	0.48048048048	0.447447447447	907	10.5214994487	3	14	0.0592369477912	0.143665158371
5	train	data_pandit/aa/5/data.5	157	994	high-gap	0.78838636917	0.850100603622	0.797786720322	0.795774647887	2895	42.498791019	2	173	0.0592369477912	0.143665158371
10	train	data_pandit/aa/10/data.10	37	115	mid-gap	0.119153936545	0.304347826087	0.182608695652	0.113043478261	180	2.81666666667	2	6	0.0592369477912	0.143665158371
11	train	data_pandit/aa/11/data.11	34	688	mid-gap	0.129360465116	0.234011627907	0.149709302326	0.127906976744	852	3.55164319249	1	6	0.0592369477912	0.143665158371
17	train	data_pandit/aa/17/data.17	61	65	mid-gap	0.131399747793	0.230769230769	0.153846153846	0.138461538462	206	2.52912621359	2	3	0.0592369477912	0.143665158371
19	train	data_pandit/aa/19/data.19	37	50	high-gap	0.232972972973	0.44	0.28	0.22	266	1.62030075188	2	2	0.0592369477912	0.143665158371
20	train	data_pandit/aa/20/data.20	42	109	high-gap	0.303844473569	0.642201834862	0.366972477064	0.284403669725	322	4.3198757764	4	11	0.0592369477912	0.143665158371
23	train	data_pandit/aa/23/data.23	108	152	high-gap	0.456140350877	0.789473684211	0.532894736842	0.506578947368	998	7.50300601202	5	21	0.0592369477912	0.143665158371
24	train	data_pandit/aa/24/data.24	20	201	mid-gap	0.115671641791	0.154228855721	0.134328358209	0.129353233831	122	3.81147540984	3	11	0.0592369477912	0.143665158371
27	train	data_pandit/aa/27/data.27	57	129	high-gap	0.266285869713	0.434108527132	0.302325581395	0.286821705426	395	4.95696202532	4	9	0.0592369477912	0.143665158371
30	train	data_pandit/aa/30/data.30	49	109	high-gap	0.152780378206	0.339449541284	0.201834862385	0.146788990826	252	3.2380952381	2	6	0.0592369477912	0.143665158371
32	train	data_pandit/aa/32/data.32	8	212	mid-gap	0.0666273584906	0.13679245283	0.0849056603774	0.0754716981132	42	2.69047619048	2	5	0.0592369477912	0.143665158371
33	train	data_pandit/aa/33/data.33	50	131	high-gap	0.325190839695	0.625954198473	0.419847328244	0.358778625954	317	6.71924290221	5	17	0.0592369477912	0.143665158371
40	train	data_pandit/aa/40/data.40	108	120	high-gap	0.295216049383	0.508333333333	0.35	0.291666666667	1170	3.27008547009	3	7	0.0592369477912	0.143665158371
43	train	data_pandit/aa/43/data.43	114	210	high-gap	0.280827067669	0.466666666667	0.3	0.290476190476	2734	2.45903438186	2	5	0.0592369477912	0.143665158371
48	train	data_pandit/aa/48/data.48	28	176	high-gap	0.537743506494	0.772727272727	0.681818181818	0.539772727273	272	9.74264705882	2	7	0.0592369477912	0.143665158371
49	train	data_pandit/aa/49/data.49	52	66	high-gap	0.243006993007	0.393939393939	0.378787878788	0.272727272727	173	4.82080924855	4	11	0.0592369477912	0.143665158371
51	train	data_pandit/aa/51/data.51	9	150	mid-gap	0.0918518518519	0.193333333333	0.126666666667	0.1	60	2.06666666667	2	4	0.0592369477912	0.143665158371
55	train	data_pandit/aa/55/data.55	30	175	high-gap	0.165142857143	0.228571428571	0.177142857143	0.177142857143	260	3.33461538462	2	8	0.0592369477912	0.143665158371
56	train	data_pandit/aa/56/data.56	53	62	high-gap	0.344796104687	0.41935483871	0.370967741935	0.370967741935	311	3.64308681672	4	5	0.0592369477912	0.143665158371
57	train	data_pandit/aa/57/data.57	28	57	high-gap	0.229323308271	0.298245614035	0.263157894737	0.245614035088	84	4.35714285714	4	8	0.0592369477912	0.143665158371
60	train	data_pandit/aa/60/data.60	157	186	high-gap	0.266557085131	0.618279569892	0.370967741935	0.247311827957	2133	3.64932020628	2	9	0.0592369477912	0.143665158371
61	train	data_pandit/aa/61/data.61	21	128	low-gap	0.0301339285714	0.1328125	0.0625	0.0078125	55	1.47272727273	1	2	0.0592369477912	0.143665158371
62	train	data_pandit/aa/62/data.62	24	956	high-gap	0.282906206416	0.541841004184	0.322175732218	0.292887029289	795	8.16477987421	3	25	0.0592369477912	0.143665158371
63	train	data_pandit/aa/63/data.63	7	486	low-gap	0.0411522633745	0.0884773662551	0.0617283950617	0.037037037037	66	2.12121212121	1	4	0.0592369477912	0.143665158371
64	train	data_pandit/aa/64/data.64	10	42	mid-gap	0.1	0.214285714286	0.190476190476	0.119047619048	17	2.47058823529	2	3	0.0592369477912	0.143665158371
65	train	data_pandit/aa/65/data.65	51	559	high-gap	0.178680416711	0.395348837209	0.212880143113	0.173524150268	1294	3.93663060278	2	11	0.0592369477912	0.143665158371
